region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6681,6.21 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,97,0.09 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,53,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,39,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,908,0.84 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,87,0.08 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,43,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,76,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,767,0.71 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2614,2.43 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6932,6.44 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,323,0.3 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,60,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,29,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,89,0.08 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,103,0.1 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,103,0.1 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,646,0.6 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,35,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,107,0.1 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,114,0.11 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,9185,8.53 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,70,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,37,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,145,0.13 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,39,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,25,0.02 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,9339,8.68 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,78,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1737,1.61 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,554,0.51 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,50,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,532,0.49 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1841,1.71 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,969,0.9 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,56,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,53,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,7801,7.25 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,7287,6.77 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,65,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,107,0.1 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,996,0.93 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,115,0.11 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,71,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,198,0.18 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,43,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,133,0.12 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,34,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,370,0.34 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,6194,5.75 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,612,0.57 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,5487,5.1 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,1258,1.17 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,132,0.12 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,816,0.76 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1983,1.84 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,66,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,7177,6.67 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6242,5.8 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,64,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,6144,5.71 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,874,0.81 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,935,0.87 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,60,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,48,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,7723,7.17 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,1 4PS,,84,0.88 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,2 PPP,,12,0.13 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,12,0.13 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,4 KABATAAN,,7,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,271,2.83 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,6 ML,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,7 PBBM,,8,0.08 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,8 P3PWD,,86,0.9 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,3,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,6,0.06 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,3,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,12 PATROL,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,14 ARTE,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,15 WIFI,,3,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,16 MAAGAP,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,25,0.26 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,5,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,20 TUCP,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,4,0.04 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,22 1PACMAN,,8,0.08 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,23 TGP,,5,0.05 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,52,0.54 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,27 BHW,,39,0.41 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,27,0.28 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,30 PBA,,3,0.03 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,31 GILAS,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,1,0.01 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,7,0.07 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,0,0 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,8,0.08 %
REGION X,LANAO DEL NORTE,SAPAD,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,3,0.03 %
