region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3979,1.24 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,497,0.15 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,798,0.25 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,367,0.11 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,9021,2.81 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1151,0.36 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,527,0.16 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,968,0.3 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,6001,1.87 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,17245,5.37 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5563,1.73 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4131,1.29 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1179,0.37 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,301,0.09 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,955,0.3 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,2179,0.68 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1022,0.32 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,7748,2.41 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,445,0.14 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1200,0.37 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1200,0.37 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,27028,8.41 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,398,0.12 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,421,0.13 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1999,0.62 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,278,0.09 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,384,0.12 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,30292,9.43 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,620,0.19 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,13397,4.17 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,4826,1.5 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,305,0.09 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,5782,1.8 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,14506,4.51 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,6388,1.99 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,372,0.12 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,289,0.09 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,17389,5.41 %
REGION X,MISAMIS ORIENTAL,TAGOLOAN,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,8600,2.68 %
