region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,10773,3.19 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,1230,0.36 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,1169,0.35 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,1056,0.31 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,8041,2.38 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1180,0.35 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,1051,0.31 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1136,0.34 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,8299,2.46 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,9183,2.72 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,13832,4.09 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3866,1.14 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1234,0.37 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,764,0.23 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,1617,0.48 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1198,0.35 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1400,0.41 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,8444,2.5 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,1097,0.32 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1396,0.41 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1532,0.45 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,24153,7.15 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,1258,0.37 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,1235,0.37 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1898,0.56 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,1158,0.34 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,930,0.28 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,24700,7.31 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,1179,0.35 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,6353,1.88 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3441,1.02 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,967,0.29 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7628,2.26 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,6800,2.01 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,19082,5.65 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,1248,0.37 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,833,0.25 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,11167,3.3 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,11280,3.34 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1154,0.34 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,1595,0.47 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,4628,1.37 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,1653,0.49 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,1171,0.35 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2471,0.73 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,970,0.29 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,805,0.24 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,907,0.27 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,3232,0.96 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,18293,5.41 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,6487,1.92 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,2117,0.63 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,6135,1.82 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,1794,0.53 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,9793,2.9 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,5867,1.74 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,804,0.24 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,14252,4.22 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6635,1.96 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,1442,0.43 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,5903,1.75 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,8963,2.65 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,14440,4.27 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,1003,0.3 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,459,0.14 %
REGION XII,SOUTH COTABATO,T'BOLI,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,10179,3.01 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,1 4PS,,3670,9.83 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,2 PPP,,158,0.42 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,287,0.77 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,4 KABATAAN,,148,0.4 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,1763,4.72 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,6 ML,,46,0.12 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,7 PBBM,,135,0.36 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,8 P3PWD,,283,0.76 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,52,0.14 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,35,0.09 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,79,0.21 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,12 PATROL,,18,0.05 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,16,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,14 ARTE,,13,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,15 WIFI,,41,0.11 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,16 MAAGAP,,13,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,175,0.47 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,102,0.27 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,12,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,20 TUCP,,973,2.61 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,95,0.25 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,22 1PACMAN,,235,0.63 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,23 TGP,,15,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,46,0.12 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,10,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,84,0.23 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,27 BHW,,114,0.31 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,15,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,63,0.17 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,30 PBA,,9,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,31 GILAS,,4,0.01 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,9,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,47,0.13 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,5,0.01 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,13,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,19,0.05 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,37 PAMANA,,167,0.45 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,38 NANAY,,24,0.06 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,6,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,173,0.46 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,41 ARISE,,23,0.06 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,42 MAGDALO,,51,0.14 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,43 APEC,,15,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,33,0.09 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,48,0.13 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,46 GABRIELA,,52,0.14 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,47 TINGOG,,1518,4.07 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,61,0.16 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,79,0.21 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,50 UGB,,21,0.06 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,246,0.66 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,52 AGIMAT,,45,0.12 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,53 PHILRECA,,148,0.4 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,54 KAPUSO PM,,17,0.05 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,55 ILOCANO DEFENDERS,,14,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,56 1-RIDER PARTY-LIST,,41,0.11 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,57 TICTOK,,18,0.05 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,59 BAYAN MUNA,,59,0.16 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,60 ANG PROBINSIYANO,,24,0.06 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,61 BANAT,,57,0.15 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,62 SBP,,7,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,63 BUHAY,,26,0.07 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,64 TULUNGAN TAYO,,32,0.09 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,65 SAGIP,,27,0.07 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,66 BTS BAYANING TSUPER,,2,0.01 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,67 VENDORS,,57,0.15 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,68 ACT-CIS,,262,0.7 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,69 AKTIBONG KAAGAPAY,,9,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,70 ASENSO PINOY,,112,0.3 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,71 SOLO PARENTS,,39,0.1 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,72 ANG KOMADRONA,,15,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,73 PROMDI,,16,0.04 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,74 PUSONG PINOY,,26,0.07 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,75 KUSUG TAUSUG,,8,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,76 DAMAYANG FILIPINO,,25,0.07 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,77 MPBL,,84,0.23 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,78 ANGAT,,14875,39.85 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,79 KALINGA,,90,0.24 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,80 BOSES PARTY-LIST,,255,0.68 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,81 ARANGKADA PILIPINO,,198,0.53 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,82 AANGAT TAYO,,880,2.36 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,83 OFW,,143,0.38 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,84 BIDA KATAGUMPAY,,278,0.74 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,85 KAMANGGAGAWA,,56,0.15 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,86 BFF,,12,0.03 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,87 BUNYOG,,142,0.38 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,88 AGRI,,64,0.17 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,89 SENIOR CITIZENS,,211,0.57 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,90 4K,,6,0.02 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,91 PBP,,57,0.15 %
REGION XII,SOUTH COTABATO,T'BOLI,PARTY LIST of PHILIPPINES,,92 ONE COOP,,30,0.08 %
