region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2686,1.13 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,483,0.2 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,423,0.18 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,390,0.16 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,7089,2.97 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,657,0.28 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,578,0.24 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,586,0.25 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5347,2.24 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,8675,3.64 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7659,3.21 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4045,1.69 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,733,0.31 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,351,0.15 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,767,0.32 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,679,0.28 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,886,0.37 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5919,2.48 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,330,0.14 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,668,0.28 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,815,0.34 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,18309,7.67 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,436,0.18 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,476,0.2 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1267,0.53 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,373,0.16 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,394,0.17 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,25079,10.51 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,532,0.22 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,6224,2.61 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3779,1.58 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,329,0.14 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,6491,2.72 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,6696,2.81 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,8431,3.53 %
REGION XII,SULTAN KUDARAT,BAGUMBAYAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,294,0.12 %
