region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,10037,3.21 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,511,0.16 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,357,0.11 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,357,0.11 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,6844,2.19 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,833,0.27 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,372,0.12 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,647,0.21 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5229,1.67 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,20222,6.47 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,11624,3.72 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3275,1.05 %
REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,826,0.26 %
