region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,464,1.5 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,37,0.12 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,48,0.16 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,37,0.12 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,1483,4.8 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,89,0.29 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,43,0.14 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,93,0.3 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,479,1.55 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1341,4.34 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,760,2.46 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,281,0.91 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,106,0.34 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,23,0.07 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,67,0.22 %
REGION XIII,DINAGAT ISLANDS,TUBAJON,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,493,1.6 %
