region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,4529,77.26 %
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,2,"BINAY, JOJO (UNA)",UNA,444,7.57 %
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,443,7.56 %
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,439,7.49 %
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,7,0.12 %
ARMM,BASILAN,HADJI MUHTAMAD,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,0,0.00 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,1663,33.25 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,1623,32.45 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,3,"ROBREDO, LENI DAANG MATUWID (LP)",LP,754,15.08 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,595,11.90 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,327,6.54 %
ARMM,BASILAN,HADJI MUHTAMAD,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,39,0.78 %
ARMM,BASILAN,HADJI MUHTAMAD,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,1912,10.94 %
ARMM,BASILAN,HADJI MUHTAMAD,SENATOR PHILIPPINES,2,"ALBANI, SHARIFF (IND)",IND,1593,9.12 %
