region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,3742,69.09 %
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,1106,20.42 %
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,493,9.10 %
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,74,1.37 %
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1,0.02 %
ARMM,LANAO DEL SUR,CALANOGAS,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,0,0.00 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,2691,50.97 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,1811,34.30 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,539,10.21 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,4,"TRILLANES, ANTONIO IV (IND)",IND,138,2.61 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,5,"ESCUDERO, CHIZ (IND)",IND,81,1.53 %
ARMM,LANAO DEL SUR,CALANOGAS,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,20,0.38 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,4064,12.93 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,2,"GORDON, DICK (IND)",IND,2750,8.75 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (PMP)",PMP,2356,7.49 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,4,"GATCHALIAN, WIN (NPC)",NPC,2101,6.68 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,5,"AMBOLODTO, INA (LP)",LP,1761,5.60 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,6,"DE LIMA, LEILA (LP)",LP,1756,5.59 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,7,"DRILON, FRANK (LP)",LP,1502,4.78 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,8,"PACQUIAO, MANNY (UNA)",UNA,1420,4.52 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,9,"GUINGONA, TG (LP)",LP,1286,4.09 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,10,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,1144,3.64 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,11,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,981,3.12 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,12,"NAPEÑAS, GETULIO (UNA)",UNA,896,2.85 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,13,"PANGILINAN, KIKO (LP)",LP,856,2.72 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,14,"RECTO, RALPH (LP)",LP,760,2.42 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,15,"TOLENTINO, FRANCIS (IND)",IND,702,2.23 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,16,"ALBANI, SHARIFF (IND)",IND,619,1.97 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,17,"ALI, ALDIN (WPPPMM)",WPP/PMM,527,1.68 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,18,"GADON, LARRY (KBL)",KBL,458,1.46 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,19,"LACSON, PANFILO PING (IND)",IND,454,1.44 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,20,"PETILLA, CARLOS JERICHO (LP)",LP,426,1.35 %
ARMM,LANAO DEL SUR,CALANOGAS,SENATOR PHILIPPINES,21,"OSMEÑA, SERGIO III (IND)",IND,419,1.33 %
