region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,7900,93.75 %
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,2,"BINAY, JOJO (UNA)",UNA,186,2.21 %
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,184,2.18 %
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,152,1.80 %
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,4,0.05 %
ARMM,LANAO DEL SUR,MASIU,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,1,0.01 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,3134,43.63 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,2329,32.42 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1180,16.43 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,4,"TRILLANES, ANTONIO IV (IND)",IND,221,3.08 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,5,"ESCUDERO, CHIZ (IND)",IND,189,2.63 %
ARMM,LANAO DEL SUR,MASIU,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,130,1.81 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,1,"GUINGONA, TG (LP)",LP,3736,12.82 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,2596,8.91 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,3,"GORDON, DICK (IND)",IND,1232,4.23 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,4,"PANGILINAN, KIKO (LP)",LP,1181,4.05 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,5,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,1125,3.86 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,1004,3.44 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,7,"ALI, ALDIN (WPPPMM)",WPP/PMM,986,3.38 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,8,"AMBOLODTO, INA (LP)",LP,966,3.31 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,9,"DRILON, FRANK (LP)",LP,954,3.27 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,10,"ALBANI, SHARIFF (IND)",IND,934,3.20 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,11,"PACQUIAO, MANNY (UNA)",UNA,913,3.13 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS (IND)",IND,881,3.02 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,13,"DE LIMA, LEILA (LP)",LP,834,2.86 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,14,"RECTO, RALPH (LP)",LP,803,2.75 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,15,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,744,2.55 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,16,"OSMEÑA, SERGIO III (IND)",IND,730,2.50 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,17,"KIRAM, PRINCESS JACEL (UNA)",UNA,646,2.22 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,18,"SOTTO, VICENTE (NPC)",NPC,644,2.21 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,19,"LAPID, MARK (AKSYON)",AKSYON,635,2.18 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,20,"LACSON, PANFILO PING (IND)",IND,631,2.16 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,21,"GATCHALIAN, WIN (NPC)",NPC,627,2.15 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,22,"ROMULO, ROMAN (IND)",IND,516,1.77 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,23,"ALUNAN, RAFFY (IND)",IND,484,1.66 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,24,"PETILLA, CARLOS JERICHO (LP)",LP,407,1.40 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,25,"DOMAGOSO, ISKO MORENO (PMP)",PMP,382,1.31 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,26,"MANZANO, EDU (IND)",IND,356,1.22 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,27,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,309,1.06 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,28,"GADON, LARRY (KBL)",KBL,281,0.96 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,29,"MONTANO, ALLAN (UNA)",UNA,256,0.88 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,30,"LACSAMANA, ALMA MORENO (UNA)",UNA,252,0.86 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,31,"BELGICA, GRECO (IND)",IND,238,0.82 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,32,"COLMENARES, NERI (MKBYN)",OTHERS,237,0.81 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,33,"SANTIAGO, DIONISIO (IND)",IND,232,0.80 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,34,"BELLO, WALDEN (IND)",IND,214,0.73 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,35,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,207,0.71 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,36,"KABALU, EID (IND)",IND,181,0.62 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,37,"OPLE, SUSAN (NP)",NP,177,0.61 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,38,"CAM, SANDRA (PMP)",PMP,160,0.55 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,39,"MONTAÑO, MON (IND)",IND,159,0.55 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,40,"PAGDILAO, SAMUEL (IND)",IND,150,0.51 %
ARMM,LANAO DEL SUR,MASIU,SENATOR PHILIPPINES,41,"NAPEÑAS, GETULIO (UNA)",UNA,150,0.51 %
