region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2387,52.17 %
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,1728,37.77 %
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,351,7.67 %
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,103,2.25 %
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,5,0.11 %
ARMM,MAGUINDANAO,PAGLAT,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,1,0.02 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,2803,72.06 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,422,10.85 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,228,5.86 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,4,"HONASAN, GRINGO (UNA)",UNA,181,4.65 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,5,"ESCUDERO, CHIZ (IND)",IND,176,4.52 %
ARMM,MAGUINDANAO,PAGLAT,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,80,2.06 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,1,"AMBOLODTO, INA (LP)",LP,1821,18.01 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,2,"GUINGONA, TG (LP)",LP,763,7.54 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,3,"PACQUIAO, MANNY (UNA)",UNA,507,5.01 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,4,"ZUBIRI, MIGZ (IND)",IND,472,4.67 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,366,3.62 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,6,"DRILON, FRANK (LP)",LP,327,3.23 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,7,"KIRAM, PRINCESS JACEL (UNA)",UNA,326,3.22 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,306,3.03 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,9,"TOLENTINO, FRANCIS (IND)",IND,302,2.99 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,10,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,299,2.96 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,11,"ALI, ALDIN (WPPPMM)",WPP/PMM,292,2.89 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,12,"DE LIMA, LEILA (LP)",LP,282,2.79 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,13,"LAPID, MARK (AKSYON)",AKSYON,259,2.56 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,14,"ALBANI, SHARIFF (IND)",IND,242,2.39 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,15,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,232,2.29 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,16,"PETILLA, CARLOS JERICHO (LP)",LP,226,2.23 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,17,"SOTTO, VICENTE (NPC)",NPC,213,2.11 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,18,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,208,2.06 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,19,"GORDON, DICK (IND)",IND,202,2.00 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,20,"RECTO, RALPH (LP)",LP,172,1.70 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,21,"OSMEÑA, SERGIO III (IND)",IND,145,1.43 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,22,"LACSON, PANFILO PING (IND)",IND,136,1.34 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,23,"MANZANO, EDU (IND)",IND,134,1.33 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,24,"DOMAGOSO, ISKO MORENO (PMP)",PMP,128,1.27 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,25,"LACSAMANA, ALMA MORENO (UNA)",UNA,114,1.13 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,101,1.00 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,27,"ALUNAN, RAFFY (IND)",IND,98,0.97 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,28,"MONTANO, ALLAN (UNA)",UNA,96,0.95 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,29,"KABALU, EID (IND)",IND,95,0.94 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,30,"DORONA, RAY (IND)",IND,83,0.82 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,31,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,82,0.81 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,32,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,76,0.75 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,33,"MONTAÑO, MON (IND)",IND,73,0.72 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,34,"PAGDILAO, SAMUEL (IND)",IND,72,0.71 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,35,"BELLO, WALDEN (IND)",IND,70,0.69 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,36,"SANTIAGO, DIONISIO (IND)",IND,69,0.68 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,37,"CAM, SANDRA (PMP)",PMP,69,0.68 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,38,"NAPEÑAS, GETULIO (UNA)",UNA,69,0.68 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,39,"ROMULO, ROMAN (IND)",IND,65,0.64 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,40,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,61,0.60 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,41,"COLMENARES, NERI (MKBYN)",OTHERS,59,0.58 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,42,"ARQUIZA, GODOFREDO (IND)",IND,56,0.55 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,43,"LANGIT, REY (UNA)",UNA,50,0.49 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,44,"BALIGOD, LEVITO (IND)",IND,49,0.48 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,45,"OPLE, SUSAN (NP)",NP,49,0.48 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,46,"LIBAN, DANTE (IND)",IND,44,0.44 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,47,"BELGICA, GRECO (IND)",IND,43,0.43 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,48,"PAEZ, MR. COOP (IND)",IND,42,0.42 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,49,"PALPARAN, JOVITO JR. (IND)",IND,37,0.37 %
ARMM,MAGUINDANAO,PAGLAT,SENATOR PHILIPPINES,50,"VALEROSO, DIOSDADO (IND)",IND,31,0.31 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL GOVERNOR MAGUINDANAO,1,"MANGUDADATU, ESMAEL (LP)",LP,4783,94.40 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL GOVERNOR MAGUINDANAO,2,"MIDTIMBANG, ALI (UNA)",UNA,224,4.42 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL GOVERNOR MAGUINDANAO,3,"MALAGUIOK, AMELIL JR. (KBL)",KBL,34,0.67 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL GOVERNOR MAGUINDANAO,4,"ABEB, KALIL (IND)",IND,15,0.30 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL GOVERNOR MAGUINDANAO,5,"HADJINOR, AMER (IND)",IND,11,0.22 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,1,"SINSUAT, LESTER (LP)",LP,3753,90.67 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,2,"MASTURA, ISMAEL (UNA)",UNA,281,6.79 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,3,"MAROHOM, MIPUNUD (IND)",IND,30,0.72 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,4,"MOHAMAD, REX (IND)",IND,26,0.63 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,5,"USMAN, MOHAMMAD (IND)",IND,21,0.51 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,6,"ALPA, NORODIN (IND)",IND,17,0.41 %
ARMM,MAGUINDANAO,PAGLAT,PROVINCIAL VICE-GOVERNOR MAGUINDANAO,7,"KOMPANIA, HADJI AKMAD (IND)",IND,11,0.27 %
ARMM,MAGUINDANAO,PAGLAT,"MEMBER, SANGGUNIANG PANLALAWIGAN MAGUINDANAO - SECOND PROVDIST",1,"MANGUDADATU, KINGJHAZZER (LP)",LP,3170,27.07 %
ARMM,MAGUINDANAO,PAGLAT,"MEMBER, SANGGUNIANG PANLALAWIGAN MAGUINDANAO - SECOND PROVDIST",2,"PAGLAS, IBRAHIM IV (LP)",LP,2619,22.37 %
