region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,18856,72.03 %
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,2,"BINAY, JOJO (UNA)",UNA,3716,14.20 %
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,3137,11.98 %
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,446,1.70 %
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,20,0.08 %
ARMM,SULU,PATIKUL,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,2,0.01 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,11258,46.54 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,5887,24.34 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,4902,20.27 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1375,5.68 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,500,2.07 %
ARMM,SULU,PATIKUL,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,267,1.10 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,1,"ROMULO, ROMAN (IND)",IND,9291,7.89 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,2,"KIRAM, PRINCESS JACEL (UNA)",UNA,8406,7.14 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,3,"SOTTO, VICENTE (NPC)",NPC,7760,6.59 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,4,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,7571,6.43 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,5,"PACQUIAO, MANNY (UNA)",UNA,6976,5.93 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,6,"DE LIMA, LEILA (LP)",LP,5255,4.46 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,7,"ALBANI, SHARIFF (IND)",IND,5155,4.38 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,8,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,5083,4.32 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,9,"GORDON, DICK (IND)",IND,4733,4.02 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,10,"GUINGONA, TG (LP)",LP,4536,3.85 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,11,"RECTO, RALPH (LP)",LP,4534,3.85 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,12,"DRILON, FRANK (LP)",LP,4264,3.62 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,13,"LACSON, PANFILO PING (IND)",IND,3766,3.20 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,14,"ALUNAN, RAFFY (IND)",IND,3696,3.14 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,15,"ZUBIRI, MIGZ (IND)",IND,3399,2.89 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,16,"PANGILINAN, KIKO (LP)",LP,3036,2.58 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,17,"DOMAGOSO, ISKO MORENO (PMP)",PMP,2593,2.20 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,18,"AMBOLODTO, INA (LP)",LP,2530,2.15 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,19,"GATCHALIAN, WIN (NPC)",NPC,2211,1.88 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,20,"LAPID, MARK (AKSYON)",AKSYON,1997,1.70 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,21,"TOLENTINO, FRANCIS (IND)",IND,1963,1.67 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,22,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,1950,1.66 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,23,"NAPEÑAS, GETULIO (UNA)",UNA,1873,1.59 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,24,"ALI, ALDIN (WPPPMM)",WPP/PMM,1460,1.24 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,25,"OSMEÑA, SERGIO III (IND)",IND,1315,1.12 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,26,"MANZANO, EDU (IND)",IND,1201,1.02 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,27,"PETILLA, CARLOS JERICHO (LP)",LP,1059,0.90 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,28,"SANTIAGO, DIONISIO (IND)",IND,794,0.67 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,29,"GADON, LARRY (KBL)",KBL,751,0.64 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,30,"LACSAMANA, ALMA MORENO (UNA)",UNA,749,0.64 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,31,"MONTANO, ALLAN (UNA)",UNA,687,0.58 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,32,"COLMENARES, NERI (MKBYN)",OTHERS,643,0.55 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,33,"BELGICA, GRECO (IND)",IND,565,0.48 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,34,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,510,0.43 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,35,"MONTAÑO, MON (IND)",IND,486,0.41 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,36,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,483,0.41 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,37,"OPLE, SUSAN (NP)",NP,480,0.41 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,38,"BELLO, WALDEN (IND)",IND,383,0.33 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,39,"DORONA, RAY (IND)",IND,381,0.32 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,40,"VALEROSO, DIOSDADO (IND)",IND,380,0.32 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,41,"PAGDILAO, SAMUEL (IND)",IND,364,0.31 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,42,"ARQUIZA, GODOFREDO (IND)",IND,354,0.30 %
ARMM,SULU,PATIKUL,SENATOR PHILIPPINES,43,"CAM, SANDRA (PMP)",PMP,351,0.30 %
