region,province,city,position,rank,candidate_name,party,votes,percentage
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,925,50.57 %
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,885,48.39 %
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,15,0.82 %
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,3,0.16 %
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1,0.05 %
ARMM,SULU,TAPUL,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,0,0.00 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,1254,68.56 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,417,22.80 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,114,6.23 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,4,"TRILLANES, ANTONIO IV (IND)",IND,31,1.69 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,5,"ESCUDERO, CHIZ (IND)",IND,7,0.38 %
ARMM,SULU,TAPUL,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,6,0.33 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,898,9.88 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,2,"DOMAGOSO, ISKO MORENO (PMP)",PMP,801,8.81 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,3,"ZUBIRI, MIGZ (IND)",IND,789,8.68 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,4,"KIRAM, PRINCESS JACEL (UNA)",UNA,649,7.14 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,5,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,573,6.30 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,6,"SOTTO, VICENTE (NPC)",NPC,485,5.34 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,7,"DE LIMA, LEILA (LP)",LP,425,4.68 %
ARMM,SULU,TAPUL,SENATOR PHILIPPINES,8,"TOLENTINO, FRANCIS (IND)",IND,409,4.50 %
