region,province,city,position,rank,candidate_name,party,votes,percentage
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,13199,42.28 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,10798,34.59 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,6165,19.75 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,769,2.46 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,241,0.77 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,46,0.15 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,13775,48.70 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,2,"ESCUDERO, CHIZ (IND)",IND,8286,29.29 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,2848,10.07 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,4,"MARCOS, BONGBONG (IND)",IND,2423,8.57 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,543,1.92 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,411,1.45 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,13280,7.27 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,11111,6.08 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,3,"GATCHALIAN, WIN (NPC)",NPC,9880,5.41 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,4,"RECTO, RALPH (LP)",LP,9783,5.36 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS (IND)",IND,9334,5.11 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,6,"DE LIMA, LEILA (LP)",LP,9295,5.09 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,7,"DRILON, FRANK (LP)",LP,9278,5.08 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,8,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,9010,4.93 %
NIR,NEGROS OCCIDENTAL,CALATRAVA,SENATOR PHILIPPINES,9,"SOTTO, VICENTE (NPC)",NPC,8953,4.90 %
