region,province,city,position,rank,candidate_name,party,votes,percentage
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,21594,58.25 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,6827,18.42 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,6602,17.81 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1254,3.38 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,766,2.07 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,28,0.08 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,23983,66.48 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,4380,12.14 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,3022,8.38 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,2513,6.97 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,1820,5.04 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,360,1.00 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,18552,7.19 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,17862,6.92 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,3,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,17800,6.90 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,4,"COLMENARES, NERI (MKBYN)",OTHERS,16002,6.20 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,5,"DE LIMA, LEILA (LP)",LP,13941,5.40 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,6,"PANGILINAN, KIKO (LP)",LP,12626,4.89 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,7,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,12128,4.70 %
NIR,NEGROS OCCIDENTAL,HINIGARAN,SENATOR PHILIPPINES,8,"OSMEÑA, SERGIO III (IND)",IND,11635,4.51 %
