region,province,city,position,rank,candidate_name,party,votes,percentage
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,5119,43.18 %
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2759,23.27 %
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,2438,20.57 %
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1326,11.19 %
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,190,1.60 %
NIR,NEGROS ORIENTAL,BASAY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,22,0.19 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4715,46.20 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,1596,15.64 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1330,13.03 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,4,"TRILLANES, ANTONIO IV (IND)",IND,1101,10.79 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,5,"ESCUDERO, CHIZ (IND)",IND,1100,10.78 %
NIR,NEGROS ORIENTAL,BASAY,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,363,3.56 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,4049,6.33 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,3768,5.89 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,3,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3361,5.25 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,4,"PANGILINAN, KIKO (LP)",LP,3210,5.02 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,5,"OSMEÑA, SERGIO III (IND)",IND,2804,4.38 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,2784,4.35 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,7,"RECTO, RALPH (LP)",LP,2752,4.30 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,8,"LACSON, PANFILO PING (IND)",IND,2668,4.17 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,9,"GORDON, DICK (IND)",IND,2655,4.15 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,10,"DE LIMA, LEILA (LP)",LP,2567,4.01 %
NIR,NEGROS ORIENTAL,BASAY,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,2560,4.00 %
