region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,7532,33.93 %
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,5365,24.17 %
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,4395,19.80 %
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,4284,19.30 %
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,607,2.73 %
REGION I,PANGASINAN,BANI,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,13,0.06 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,14321,65.75 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4008,18.40 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,2008,9.22 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,653,3.00 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,530,2.43 %
REGION I,PANGASINAN,BANI,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,260,1.19 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,11742,6.65 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,11139,6.31 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,3,"LACSON, PANFILO PING (IND)",IND,11031,6.25 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,4,"PACQUIAO, MANNY (UNA)",UNA,9773,5.54 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,5,"SOTTO, VICENTE (NPC)",NPC,9711,5.50 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,6,"GORDON, DICK (IND)",IND,9629,5.46 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,7,"PANGILINAN, KIKO (LP)",LP,9109,5.16 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,8,"DE LIMA, LEILA (LP)",LP,8793,4.98 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,9,"RECTO, RALPH (LP)",LP,8696,4.93 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,8292,4.70 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,11,"ZUBIRI, MIGZ (IND)",IND,7920,4.49 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,12,"GATCHALIAN, WIN (NPC)",NPC,7672,4.35 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS (IND)",IND,7569,4.29 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,14,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,7176,4.07 %
REGION I,PANGASINAN,BANI,SENATOR PHILIPPINES,15,"OSMEÑA, SERGIO III (IND)",IND,6593,3.74 %
