region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,4211,35.70 %
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2967,25.15 %
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,2891,24.51 %
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,1378,11.68 %
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,333,2.82 %
REGION I,PANGASINAN,MABINI,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,16,0.14 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,7011,60.94 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,2147,18.66 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1363,11.85 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,478,4.16 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,283,2.46 %
REGION I,PANGASINAN,MABINI,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,222,1.93 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,5523,6.18 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,5381,6.02 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,3,"GORDON, DICK (IND)",IND,5285,5.91 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,4,"PACQUIAO, MANNY (UNA)",UNA,5191,5.81 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,5,"SOTTO, VICENTE (NPC)",NPC,5145,5.75 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,6,"LACSON, PANFILO PING (IND)",IND,4997,5.59 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,7,"ZUBIRI, MIGZ (IND)",IND,4414,4.94 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,4305,4.81 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,9,"RECTO, RALPH (LP)",LP,4237,4.74 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,4214,4.71 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,3990,4.46 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,12,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,3868,4.33 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,13,"DE LIMA, LEILA (LP)",LP,3825,4.28 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS (IND)",IND,3733,4.18 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,15,"DOMAGOSO, ISKO MORENO (PMP)",PMP,3526,3.94 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,16,"OSMEÑA, SERGIO III (IND)",IND,3176,3.55 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,17,"GUINGONA, TG (LP)",LP,2278,2.55 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,18,"LAPID, MARK (AKSYON)",AKSYON,2231,2.50 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,19,"MANZANO, EDU (IND)",IND,1536,1.72 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,20,"PETILLA, CARLOS JERICHO (LP)",LP,1267,1.42 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,21,"COLMENARES, NERI (MKBYN)",OTHERS,1110,1.24 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,22,"ROMULO, ROMAN (IND)",IND,1010,1.13 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,23,"GADON, LARRY (KBL)",KBL,733,0.82 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,24,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,727,0.81 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,25,"LACSAMANA, ALMA MORENO (UNA)",UNA,688,0.77 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,26,"OPLE, SUSAN (NP)",NP,546,0.61 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,27,"MONTANO, ALLAN (UNA)",UNA,508,0.57 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,28,"SANTIAGO, DIONISIO (IND)",IND,467,0.52 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,29,"LANGIT, REY (UNA)",UNA,466,0.52 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,30,"NAPEÑAS, GETULIO (UNA)",UNA,450,0.50 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,31,"PAGDILAO, SAMUEL (IND)",IND,442,0.49 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,32,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,424,0.47 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,33,"BELGICA, GRECO (IND)",IND,344,0.38 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,34,"PALPARAN, JOVITO JR. (IND)",IND,289,0.32 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,35,"ALUNAN, RAFFY (IND)",IND,280,0.31 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,36,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,261,0.29 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,37,"ARQUIZA, GODOFREDO (IND)",IND,255,0.29 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,38,"MONTAÑO, MON (IND)",IND,253,0.28 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,39,"ALI, ALDIN (WPPPMM)",WPP/PMM,222,0.25 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,40,"AMBOLODTO, INA (LP)",LP,201,0.22 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,41,"CAM, SANDRA (PMP)",PMP,189,0.21 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,42,"ALBANI, SHARIFF (IND)",IND,185,0.21 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,43,"BALIGOD, LEVITO (IND)",IND,185,0.21 %
REGION I,PANGASINAN,MABINI,SENATOR PHILIPPINES,44,"BELLO, WALDEN (IND)",IND,185,0.21 %
