region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,1,"BINAY, JOJO (UNA)",UNA,4236,44.86 %
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2319,24.56 %
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,1672,17.71 %
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,889,9.42 %
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,324,3.43 %
REGION II,ISABELA,AURORA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,2,0.02 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,7073,76.71 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,1125,12.20 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,571,6.19 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,251,2.72 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,111,1.20 %
REGION II,ISABELA,AURORA,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,89,0.97 %
REGION II,ISABELA,AURORA,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,4911,6.50 %
REGION II,ISABELA,AURORA,SENATOR PHILIPPINES,2,"LACSON, PANFILO PING (IND)",IND,4780,6.33 %
REGION II,ISABELA,AURORA,SENATOR PHILIPPINES,3,"DRILON, FRANK (LP)",LP,4361,5.77 %
REGION II,ISABELA,AURORA,SENATOR PHILIPPINES,4,"GORDON, DICK (IND)",IND,4199,5.56 %
REGION II,ISABELA,AURORA,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,4187,5.54 %
