region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,1,"BINAY, JOJO (UNA)",UNA,1723,38.67 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,1323,29.69 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,1071,24.04 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,4,"DUTERTE, RODY (PDPLBN)",PDP LABAN,291,6.53 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,46,1.03 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,2,0.04 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,1894,44.14 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,1033,24.07 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,581,13.54 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,4,"HONASAN, GRINGO (UNA)",UNA,419,9.76 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,226,5.27 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,138,3.22 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,2757,8.73 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,1682,5.33 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,3,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,1570,4.97 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,4,"DRILON, FRANK (LP)",LP,1521,4.82 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,5,"LACSON, PANFILO PING (IND)",IND,1518,4.81 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,6,"DE LIMA, LEILA (LP)",LP,1292,4.09 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,7,"PANGILINAN, KIKO (LP)",LP,1191,3.77 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,8,"GORDON, DICK (IND)",IND,1144,3.62 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,9,"OSMEÑA, SERGIO III (IND)",IND,1001,3.17 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,10,"SOTTO, VICENTE (NPC)",NPC,979,3.10 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,11,"COLMENARES, NERI (MKBYN)",OTHERS,952,3.01 %
REGION II,NUEVA VIZCAYA,AMBAGUIO,SENATOR PHILIPPINES,12,"RECTO, RALPH (LP)",LP,943,2.99 %
