region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,1,"BINAY, JOJO (UNA)",UNA,8323,37.30 %
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,5842,26.18 %
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,5494,24.62 %
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,1607,7.20 %
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1037,4.65 %
REGION II,NUEVA VIZCAYA,BAMBANG,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,11,0.05 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,17134,77.58 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,2179,9.87 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1537,6.96 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,466,2.11 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,442,2.00 %
REGION II,NUEVA VIZCAYA,BAMBANG,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,329,1.49 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,1,"LACSON, PANFILO PING (IND)",IND,12485,6.59 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,2,"SOTTO, VICENTE (NPC)",NPC,11082,5.85 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,3,"DRILON, FRANK (LP)",LP,10970,5.79 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,4,"PACQUIAO, MANNY (UNA)",UNA,10892,5.75 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,5,"ZUBIRI, MIGZ (IND)",IND,10352,5.47 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,10228,5.40 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,7,"GORDON, DICK (IND)",IND,9965,5.26 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,8,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,9093,4.80 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,9,"GATCHALIAN, WIN (NPC)",NPC,8938,4.72 %
REGION II,NUEVA VIZCAYA,BAMBANG,SENATOR PHILIPPINES,10,"PANGILINAN, KIKO (LP)",LP,8712,4.60 %
