region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,27333,52.52 %
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,13880,26.67 %
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,4513,8.67 %
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,3727,7.16 %
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,2585,4.97 %
REGION III,BATAAN,BALANGA  CITY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,9,0.02 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,31311,61.07 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,8316,16.22 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,7521,14.67 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,3132,6.11 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,523,1.02 %
REGION III,BATAAN,BALANGA  CITY,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,465,0.91 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,38713,7.91 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,37146,7.59 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,3,"GORDON, DICK (IND)",IND,35717,7.30 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,4,"LACSON, PANFILO PING (IND)",IND,32899,6.72 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,5,"DRILON, FRANK (LP)",LP,31842,6.51 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,6,"PANGILINAN, KIKO (LP)",LP,31277,6.39 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,7,"RECTO, RALPH (LP)",LP,29325,5.99 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,29247,5.98 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,9,"ZUBIRI, MIGZ (IND)",IND,28366,5.80 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,10,"TOLENTINO, FRANCIS (IND)",IND,25247,5.16 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,11,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,25150,5.14 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,12,"GUINGONA, TG (LP)",LP,24171,4.94 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,13,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,15394,3.15 %
REGION III,BATAAN,BALANGA  CITY,SENATOR PHILIPPINES,14,"PACQUIAO, MANNY (UNA)",UNA,14300,2.92 %
