region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,9818,30.41 %
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,8722,27.02 %
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,7318,22.67 %
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,5707,17.68 %
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,709,2.20 %
REGION III,NUEVA ECIJA,SANTA ROSA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,10,0.03 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,15375,49.21 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,8016,25.66 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,4841,15.50 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,1568,5.02 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,730,2.34 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,711,2.28 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,18923,7.48 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,18363,7.26 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,3,"LACSON, PANFILO PING (IND)",IND,15590,6.17 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,4,"GORDON, DICK (IND)",IND,15292,6.05 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,5,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,14409,5.70 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,6,"DRILON, FRANK (LP)",LP,13563,5.36 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,13048,5.16 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,12912,5.11 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,9,"RECTO, RALPH (LP)",LP,11905,4.71 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,10,"PACQUIAO, MANNY (UNA)",UNA,11870,4.69 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,11,"DOMAGOSO, ISKO MORENO (PMP)",PMP,10641,4.21 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,10298,4.07 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,13,"DE LIMA, LEILA (LP)",LP,9795,3.87 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS (IND)",IND,9413,3.72 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,15,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,8866,3.51 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,16,"OSMEÑA, SERGIO III (IND)",IND,7981,3.16 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,17,"LAPID, MARK (AKSYON)",AKSYON,7076,2.80 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,18,"GUINGONA, TG (LP)",LP,5983,2.37 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,19,"PETILLA, CARLOS JERICHO (LP)",LP,4981,1.97 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,20,"ROMULO, ROMAN (IND)",IND,4151,1.64 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,21,"MANZANO, EDU (IND)",IND,3762,1.49 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,22,"COLMENARES, NERI (MKBYN)",OTHERS,3742,1.48 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,23,"GADON, LARRY (KBL)",KBL,2000,0.79 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,24,"LACSAMANA, ALMA MORENO (UNA)",UNA,1933,0.76 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,25,"OPLE, SUSAN (NP)",NP,1715,0.68 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,26,"LANGIT, REY (UNA)",UNA,1321,0.52 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,27,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,1095,0.43 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,28,"PAGDILAO, SAMUEL (IND)",IND,1049,0.41 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,29,"MONTANO, ALLAN (UNA)",UNA,1022,0.40 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,30,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,1018,0.40 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,31,"BELGICA, GRECO (IND)",IND,892,0.35 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,32,"PALPARAN, JOVITO JR. (IND)",IND,843,0.33 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,33,"SANTIAGO, DIONISIO (IND)",IND,835,0.33 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,34,"NAPEÑAS, GETULIO (UNA)",UNA,835,0.33 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,35,"ALUNAN, RAFFY (IND)",IND,683,0.27 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,36,"BELLO, WALDEN (IND)",IND,582,0.23 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,37,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,557,0.22 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,38,"MONTAÑO, MON (IND)",IND,423,0.17 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,39,"AMBOLODTO, INA (LP)",LP,395,0.16 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,40,"ARQUIZA, GODOFREDO (IND)",IND,354,0.14 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,41,"VALEROSO, DIOSDADO (IND)",IND,346,0.14 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,42,"CAM, SANDRA (PMP)",PMP,337,0.13 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,43,"KIRAM, PRINCESS JACEL (UNA)",UNA,325,0.13 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF (IND)",IND,301,0.12 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,45,"BALIGOD, LEVITO (IND)",IND,293,0.12 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,46,"LIBAN, DANTE (IND)",IND,267,0.11 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,47,"ALI, ALDIN (WPPPMM)",WPP/PMM,260,0.10 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,48,"DORONA, RAY (IND)",IND,250,0.10 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,49,"PAEZ, MR. COOP (IND)",IND,213,0.08 %
REGION III,NUEVA ECIJA,SANTA ROSA,SENATOR PHILIPPINES,50,"KABALU, EID (IND)",IND,158,0.06 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL GOVERNOR NUEVA ECIJA,1,"UMALI, CHERRY (LP)",LP,22302,72.52 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL GOVERNOR NUEVA ECIJA,2,"ANTONINO, RODY (UNA)",BALANE,8449,27.48 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL VICE-GOVERNOR NUEVA ECIJA,1,"PADIERNOS, GP (LP)",LP,18643,73.81 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL VICE-GOVERNOR NUEVA ECIJA,2,"JOSON, MELCHOR (UNA)",BALANE,5507,21.80 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL VICE-GOVERNOR NUEVA ECIJA,3,"SARMIENTO, RAYMUND (PDPLBN)",PDP LABAN,866,3.43 %
REGION III,NUEVA ECIJA,SANTA ROSA,PROVINCIAL VICE-GOVERNOR NUEVA ECIJA,4,"BELLO, HENY (IND)",IND,242,0.96 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",1,"MATIAS, KUYA JOJO (NPC)",NPC,13514,27.57 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",2,"JOSON, EDWARD THOMAS (UNA)",BALANE,12330,25.15 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",3,"DIAZ, JESS (LP)",LP,12057,24.60 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",4,"SEVERINO, ARIEL (LP)",LP,10069,20.54 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",5,"MATEO, LYNN JOY (IND)",IND,634,1.29 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG PANLALAWIGAN NUEVA ECIJA - THIRD PROVDIST",6,"VALINO, JAY ORLANDO (IND)",IND,416,0.85 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, HOUSE OF REPRESENTATIVES NUEVA ECIJA - THIRD LEGDIST",1,"UMALI, OYIE (LP)",LP,17974,56.56 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, HOUSE OF REPRESENTATIVES NUEVA ECIJA - THIRD LEGDIST",2,"VERGARA, RIA (NPC)",NPC,13738,43.23 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, HOUSE OF REPRESENTATIVES NUEVA ECIJA - THIRD LEGDIST",3,"CASTRO, GAUDENCIO (IND)",IND,69,0.22 %
REGION III,NUEVA ECIJA,SANTA ROSA,MAYOR NUEVA ECIJA - SANTA ROSA,1,"ANGELES, MARITA (UNA)",BALANE,17395,54.06 %
REGION III,NUEVA ECIJA,SANTA ROSA,MAYOR NUEVA ECIJA - SANTA ROSA,2,"PALAD, PER (SIGAW)",UNANG SIGAW (PARTIDO NG PAGBABAGO),13755,42.75 %
REGION III,NUEVA ECIJA,SANTA ROSA,MAYOR NUEVA ECIJA - SANTA ROSA,3,"JACINTO, ROBERTO (IND)",IND,1029,3.20 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-MAYOR NUEVA ECIJA - SANTA ROSA,1,"ANGELES, BOYET (UNA)",BALANE,17735,58.10 %
REGION III,NUEVA ECIJA,SANTA ROSA,VICE-MAYOR NUEVA ECIJA - SANTA ROSA,2,"ROMERO, ANTONIO (SIGAW)",UNANG SIGAW (PARTIDO NG PAGBABAGO),12790,41.90 %
REGION III,NUEVA ECIJA,SANTA ROSA,"MEMBER, SANGGUNIANG BAYAN NUEVA ECIJA - SANTA ROSA   - LONE DIST",1,"EVANGELISTA, MARIE (SIGAW)",UNANG SIGAW (PARTIDO NG PAGBABAGO),16728,8.03 %
