region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,13973,34.37 %
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,11913,29.30 %
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,8008,19.70 %
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,5919,14.56 %
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,814,2.00 %
REGION III,NUEVA ECIJA,SAN ANTONIO,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,29,0.07 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,21245,54.31 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,7425,18.98 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,6815,17.42 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,1974,5.05 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,904,2.31 %
REGION III,NUEVA ECIJA,SAN ANTONIO,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,756,1.93 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,24147,8.12 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,22845,7.68 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,3,"GATCHALIAN, WIN (NPC)",NPC,18562,6.24 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,4,"LACSON, PANFILO PING (IND)",IND,17751,5.97 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,5,"GORDON, DICK (IND)",IND,16789,5.64 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,6,"PACQUIAO, MANNY (UNA)",UNA,16112,5.41 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,7,"DRILON, FRANK (LP)",LP,15117,5.08 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,8,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,14602,4.91 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,9,"PANGILINAN, KIKO (LP)",LP,14031,4.72 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,10,"DOMAGOSO, ISKO MORENO (PMP)",PMP,13696,4.60 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,11,"RECTO, RALPH (LP)",LP,13325,4.48 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,11846,3.98 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,13,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,11117,3.74 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,14,"DE LIMA, LEILA (LP)",LP,10862,3.65 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,15,"LAPID, MARK (AKSYON)",AKSYON,10107,3.40 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS (IND)",IND,10086,3.39 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,17,"OSMEÑA, SERGIO III (IND)",IND,8961,3.01 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,18,"GUINGONA, TG (LP)",LP,6809,2.29 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,19,"ROMULO, ROMAN (IND)",IND,4737,1.59 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,20,"MANZANO, EDU (IND)",IND,4522,1.52 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,21,"PETILLA, CARLOS JERICHO (LP)",LP,3924,1.32 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,22,"COLMENARES, NERI (MKBYN)",OTHERS,3188,1.07 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,23,"LACSAMANA, ALMA MORENO (UNA)",UNA,2373,0.80 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,24,"GADON, LARRY (KBL)",KBL,2369,0.80 %
REGION III,NUEVA ECIJA,SAN ANTONIO,SENATOR PHILIPPINES,25,"OPLE, SUSAN (NP)",NP,1697,0.57 %
