region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,13786,37.66 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,8790,24.01 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,7062,19.29 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,5722,15.63 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1228,3.35 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,17,0.05 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,22872,63.43 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,7053,19.56 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,3133,8.69 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,1389,3.85 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,1171,3.25 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,439,1.22 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,21633,7.39 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,2,"LACSON, PANFILO PING (IND)",IND,19005,6.49 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,3,"SOTTO, VICENTE (NPC)",NPC,18414,6.29 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,4,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,18149,6.20 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,5,"GORDON, DICK (IND)",IND,16808,5.74 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,6,"DRILON, FRANK (LP)",LP,15894,5.43 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,15388,5.25 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,8,"PACQUIAO, MANNY (UNA)",UNA,13943,4.76 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,9,"PANGILINAN, KIKO (LP)",LP,13652,4.66 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,10,"DOMAGOSO, ISKO MORENO (PMP)",PMP,13213,4.51 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,11,"ZUBIRI, MIGZ (IND)",IND,12857,4.39 %
REGION III,NUEVA ECIJA,SCIENCE CITY OF MUÑOZ,SENATOR PHILIPPINES,12,"RECTO, RALPH (LP)",LP,12705,4.34 %
