region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,16801,47.30 %
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,6999,19.71 %
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,5301,14.93 %
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,4746,13.36 %
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1650,4.65 %
REGION III,PAMPANGA,BACOLOR,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,20,0.06 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,15528,44.77 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,10503,30.28 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,4065,11.72 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,3794,10.94 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,400,1.15 %
REGION III,PAMPANGA,BACOLOR,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,392,1.13 %
REGION III,PAMPANGA,BACOLOR,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,20977,7.91 %
REGION III,PAMPANGA,BACOLOR,SENATOR PHILIPPINES,2,"LAPID, MARK (AKSYON)",AKSYON,19143,7.22 %
REGION III,PAMPANGA,BACOLOR,SENATOR PHILIPPINES,3,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,18660,7.04 %
