region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,50307,43.18 %
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,27265,23.40 %
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,18296,15.70 %
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,12968,11.13 %
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,7606,6.53 %
REGION III,PAMPANGA,SAN FERNANDO CITY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,68,0.06 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,43380,37.71 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,41844,36.38 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,14139,12.29 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,13088,11.38 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,1463,1.27 %
REGION III,PAMPANGA,SAN FERNANDO CITY,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,1118,0.97 %
REGION III,PAMPANGA,SAN FERNANDO CITY,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,74302,7.58 %
