region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,7983,29.24 %
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,7050,25.82 %
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,6612,24.21 %
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,4686,17.16 %
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,969,3.55 %
REGION IV-A,BATANGAS,TAAL,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,6,0.02 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,11268,42.54 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,7418,28.00 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,4356,16.44 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,2219,8.38 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,701,2.65 %
REGION IV-A,BATANGAS,TAAL,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,528,1.99 %
REGION IV-A,BATANGAS,TAAL,SENATOR PHILIPPINES,1,"RECTO, RALPH (LP)",LP,14897,6.92 %
REGION IV-A,BATANGAS,TAAL,SENATOR PHILIPPINES,2,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,13462,6.26 %
REGION IV-A,BATANGAS,TAAL,SENATOR PHILIPPINES,3,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,12658,5.88 %
REGION IV-A,BATANGAS,TAAL,SENATOR PHILIPPINES,4,"DRILON, FRANK (LP)",LP,12637,5.87 %
REGION IV-A,BATANGAS,TAAL,SENATOR PHILIPPINES,5,"GORDON, DICK (IND)",IND,12002,5.58 %
