region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,6348,41.53 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,3908,25.56 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,2277,14.90 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1997,13.06 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,754,4.93 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,3,0.02 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,6089,40.48 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4995,33.21 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,2294,15.25 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,1211,8.05 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,272,1.81 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,181,1.20 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,1,"TOLENTINO, FRANCIS (IND)",IND,12902,11.34 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,2,"LACSON, PANFILO PING (IND)",IND,7888,6.94 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,3,"SOTTO, VICENTE (NPC)",NPC,7483,6.58 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,4,"GORDON, DICK (IND)",IND,7014,6.17 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,5,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,6571,5.78 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,6254,5.50 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,7,"DRILON, FRANK (LP)",LP,5740,5.05 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,5654,4.97 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,9,"RECTO, RALPH (LP)",LP,5332,4.69 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,10,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,4711,4.14 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,4688,4.12 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,4401,3.87 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,13,"PACQUIAO, MANNY (UNA)",UNA,4368,3.84 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,14,"DE LIMA, LEILA (LP)",LP,4259,3.74 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,15,"OSMEÑA, SERGIO III (IND)",IND,3979,3.50 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,16,"DOMAGOSO, ISKO MORENO (PMP)",PMP,3451,3.03 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,17,"GUINGONA, TG (LP)",LP,2849,2.50 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,18,"ROMULO, ROMAN (IND)",IND,2530,2.22 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,19,"COLMENARES, NERI (MKBYN)",OTHERS,1659,1.46 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,20,"PAGDILAO, SAMUEL (IND)",IND,1504,1.32 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,21,"MANZANO, EDU (IND)",IND,1292,1.14 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,22,"LAPID, MARK (AKSYON)",AKSYON,1252,1.10 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,23,"PETILLA, CARLOS JERICHO (LP)",LP,1053,0.93 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,24,"BELGICA, GRECO (IND)",IND,773,0.68 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,25,"OPLE, SUSAN (NP)",NP,773,0.68 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,571,0.50 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,27,"LANGIT, REY (UNA)",UNA,536,0.47 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,28,"LACSAMANA, ALMA MORENO (UNA)",UNA,493,0.43 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,29,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,456,0.40 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,30,"ALUNAN, RAFFY (IND)",IND,439,0.39 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,31,"MONTANO, ALLAN (UNA)",UNA,293,0.26 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,32,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,282,0.25 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,33,"SANTIAGO, DIONISIO (IND)",IND,274,0.24 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,34,"NAPEÑAS, GETULIO (UNA)",UNA,233,0.20 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,35,"CAM, SANDRA (PMP)",PMP,211,0.19 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,36,"BELLO, WALDEN (IND)",IND,197,0.17 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,37,"PALPARAN, JOVITO JR. (IND)",IND,183,0.16 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,38,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,148,0.13 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,39,"AMBOLODTO, INA (LP)",LP,133,0.12 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,40,"KIRAM, PRINCESS JACEL (UNA)",UNA,116,0.10 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,41,"MONTAÑO, MON (IND)",IND,111,0.10 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,42,"VALEROSO, DIOSDADO (IND)",IND,97,0.09 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,43,"LIBAN, DANTE (IND)",IND,95,0.08 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,44,"ALBANI, SHARIFF (IND)",IND,89,0.08 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,45,"BALIGOD, LEVITO (IND)",IND,86,0.08 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,46,"ALI, ALDIN (WPPPMM)",WPP/PMM,73,0.06 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,47,"DORONA, RAY (IND)",IND,72,0.06 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,48,"PAEZ, MR. COOP (IND)",IND,68,0.06 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,49,"ARQUIZA, GODOFREDO (IND)",IND,64,0.06 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),SENATOR PHILIPPINES,50,"KABALU, EID (IND)",IND,40,0.04 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PROVINCIAL GOVERNOR CAVITE,1,"REMULLA, BOYING (UNA)",UNA,12248,97.61 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PROVINCIAL GOVERNOR CAVITE,2,"BER ADO, BONG (IND)",IND,111,0.88 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PROVINCIAL GOVERNOR CAVITE,3,"BALANZAG, RICHARD (IND)",IND,104,0.83 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PROVINCIAL GOVERNOR CAVITE,4,"BORRAL, OBET (IND)",IND,85,0.68 %
REGION IV-A,CAVITE,MENDEZ (MENDEZ-NUÑEZ),PROVINCIAL VICE-GOVERNOR CAVITE,1,"REVILLA, RAMON JOLO III (LAKAS)",LAKAS CMD,9393,73.50 %
