region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,18951,47.91 %
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,7257,18.35 %
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,6851,17.32 %
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,5716,14.45 %
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,765,1.93 %
REGION IV-A,QUEZON,LOPEZ,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,17,0.04 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,19082,49.64 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,2,"ESCUDERO, CHIZ (IND)",IND,7853,20.43 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,6751,17.56 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,2442,6.35 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,1182,3.07 %
REGION IV-A,QUEZON,LOPEZ,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,1130,2.94 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,19226,6.28 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,18273,5.97 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,3,"GATCHALIAN, WIN (NPC)",NPC,17613,5.75 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,4,"LACSON, PANFILO PING (IND)",IND,17087,5.58 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,5,"GORDON, DICK (IND)",IND,16119,5.27 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,16084,5.25 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,7,"PANGILINAN, KIKO (LP)",LP,16027,5.24 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,8,"RECTO, RALPH (LP)",LP,15059,4.92 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,9,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,14399,4.70 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,10,"PACQUIAO, MANNY (UNA)",UNA,14282,4.67 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,11,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,13546,4.42 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,12,"DE LIMA, LEILA (LP)",LP,13441,4.39 %
REGION IV-A,QUEZON,LOPEZ,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS (IND)",IND,12956,4.23 %
