region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,16159,41.60 %
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,9025,23.23 %
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,8143,20.96 %
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,3979,10.24 %
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,1514,3.90 %
REGION IV-A,QUEZON,TAYABAS CITY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,23,0.06 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,16225,42.33 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,2,"ESCUDERO, CHIZ (IND)",IND,9484,24.74 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,7176,18.72 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,2871,7.49 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,1803,4.70 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,770,2.01 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,1,"LACSON, PANFILO PING (IND)",IND,20638,6.04 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,20301,5.94 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,20160,5.90 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,4,"SOTTO, VICENTE (NPC)",NPC,19617,5.74 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,5,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,19313,5.65 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,18806,5.50 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,7,"GORDON, DICK (IND)",IND,17078,5.00 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,8,"RECTO, RALPH (LP)",LP,16356,4.78 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,9,"DE LIMA, LEILA (LP)",LP,15955,4.67 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,10,"GATCHALIAN, WIN (NPC)",NPC,15533,4.54 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,11,"DOMAGOSO, ISKO MORENO (PMP)",PMP,14415,4.22 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,14317,4.19 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,13,"OSMEÑA, SERGIO III (IND)",IND,14053,4.11 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,14,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,13373,3.91 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,15,"PACQUIAO, MANNY (UNA)",UNA,12808,3.75 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS (IND)",IND,12231,3.58 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,17,"GUINGONA, TG (LP)",LP,10085,2.95 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,18,"LAPID, MARK (AKSYON)",AKSYON,9158,2.68 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,19,"MANZANO, EDU (IND)",IND,6689,1.96 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,20,"COLMENARES, NERI (MKBYN)",OTHERS,6672,1.95 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,21,"PETILLA, CARLOS JERICHO (LP)",LP,6198,1.81 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,22,"ROMULO, ROMAN (IND)",IND,4159,1.22 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,23,"LACSAMANA, ALMA MORENO (UNA)",UNA,4072,1.19 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,24,"LANGIT, REY (UNA)",UNA,3016,0.88 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,25,"OPLE, SUSAN (NP)",NP,2245,0.66 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,2020,0.59 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,27,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,2009,0.59 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,28,"NAPEÑAS, GETULIO (UNA)",UNA,1984,0.58 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,29,"ALUNAN, RAFFY (IND)",IND,1801,0.53 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,30,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,1706,0.50 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,31,"BELGICA, GRECO (IND)",IND,1625,0.48 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,32,"MONTANO, ALLAN (UNA)",UNA,1496,0.44 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,33,"SANTIAGO, DIONISIO (IND)",IND,1489,0.44 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,34,"KIRAM, PRINCESS JACEL (UNA)",UNA,1327,0.39 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,35,"PAGDILAO, SAMUEL (IND)",IND,958,0.28 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,36,"PALPARAN, JOVITO JR. (IND)",IND,872,0.26 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,37,"BELLO, WALDEN (IND)",IND,798,0.23 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,38,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,750,0.22 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,39,"CAM, SANDRA (PMP)",PMP,746,0.22 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,40,"MONTAÑO, MON (IND)",IND,674,0.20 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,41,"AMBOLODTO, INA (LP)",LP,624,0.18 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,42,"PAEZ, MR. COOP (IND)",IND,549,0.16 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,43,"ARQUIZA, GODOFREDO (IND)",IND,493,0.14 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF (IND)",IND,492,0.14 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,45,"VALEROSO, DIOSDADO (IND)",IND,435,0.13 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,46,"BALIGOD, LEVITO (IND)",IND,403,0.12 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,47,"DORONA, RAY (IND)",IND,398,0.12 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,48,"ALI, ALDIN (WPPPMM)",WPP/PMM,389,0.11 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,49,"LIBAN, DANTE (IND)",IND,380,0.11 %
REGION IV-A,QUEZON,TAYABAS CITY,SENATOR PHILIPPINES,50,"KABALU, EID (IND)",IND,206,0.06 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL GOVERNOR QUEZON,1,"SUAREZ, DAVID (NUP)",NUP,33914,97.31 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL GOVERNOR QUEZON,2,"GONZALES, TEODORICO (PMM)",OTHERS,329,0.94 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL GOVERNOR QUEZON,3,"SALUMBIDES, FIDEN (IND)",IND,271,0.78 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL GOVERNOR QUEZON,4,"RAQUEPO, REYNULFO (IND)",IND,191,0.55 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL GOVERNOR QUEZON,5,"PASATIEMPO, DANNY (IND)",IND,148,0.42 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL VICE-GOVERNOR QUEZON,1,"NANTES, SAM (LP)",LP,20571,56.87 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL VICE-GOVERNOR QUEZON,2,"ALCALA, ANACLETO AJA (NUP)",NUP,9435,26.08 %
REGION IV-A,QUEZON,TAYABAS CITY,PROVINCIAL VICE-GOVERNOR QUEZON,3,"EJERCITO, GARY (PMP)",PMP,6169,17.05 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",1,"TALAGA, JERRY (NUP)",NUP,19185,34.13 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",2,"MORADA, PRIMA (IND)",IND,11280,20.06 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",3,"DEVEZA, AYELAH (NUP)",NUP,8136,14.47 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",4,"DATOR, SERAFIN (IND)",IND,4979,8.86 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",5,"DATOR, RICKY (NPC)",NPC,4698,8.36 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",6,"SY BANG, JOHN EDDISON (IND)",IND,4249,7.56 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN QUEZON - FIRST PROVDIST",7,"BUAN, AILEEN (LP)",LP,3692,6.57 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, HOUSE OF REPRESENTATIVES QUEZON - FIRST LEGDIST",1,"ALCALA, IRVIN (LP)",LP,17485,47.19 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, HOUSE OF REPRESENTATIVES QUEZON - FIRST LEGDIST",2,"ENVERGA, TRINA (NPC)",NPC,15032,40.57 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, HOUSE OF REPRESENTATIVES QUEZON - FIRST LEGDIST",3,"DATOR, TECHIE (UNA)",UNA,3832,10.34 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, HOUSE OF REPRESENTATIVES QUEZON - FIRST LEGDIST",4,"PORTES, KELLY (PDPLBN)",PDP LABAN,703,1.90 %
REGION IV-A,QUEZON,TAYABAS CITY,MAYOR QUEZON - TAYABAS CITY,1,"REYNOSO, ERNIDA (LP)",LP,13756,36.03 %
REGION IV-A,QUEZON,TAYABAS CITY,MAYOR QUEZON - TAYABAS CITY,2,"MALABANAN, KUYA ABNER (PDPLBN)",PDP LABAN,9311,24.38 %
REGION IV-A,QUEZON,TAYABAS CITY,MAYOR QUEZON - TAYABAS CITY,3,"REA, BRANDO (NUP)",NUP,6842,17.92 %
REGION IV-A,QUEZON,TAYABAS CITY,MAYOR QUEZON - TAYABAS CITY,4,"OBISPO, BABY (LAKAS)",LAKAS CMD,5944,15.57 %
REGION IV-A,QUEZON,TAYABAS CITY,MAYOR QUEZON - TAYABAS CITY,5,"CUADRA, LUZ (NPC)",NPC,2331,6.10 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-MAYOR QUEZON - TAYABAS CITY,1,"ABESAMIS, NICK (LP)",LP,12791,34.31 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-MAYOR QUEZON - TAYABAS CITY,2,"SILANG, DONDI (IND)",IND,8880,23.82 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-MAYOR QUEZON - TAYABAS CITY,3,"LUCES, JAYJAY (LAKAS)",LAKAS CMD,6807,18.26 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-MAYOR QUEZON - TAYABAS CITY,4,"ROMERO, DINO (NPC)",NPC,6399,17.17 %
REGION IV-A,QUEZON,TAYABAS CITY,VICE-MAYOR QUEZON - TAYABAS CITY,5,"CABIGAN, LEO (NUP)",NUP,2402,6.44 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",1,"SABEROLA, WENDA (LP)",LP,21722,7.32 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",2,"REYNOSO, LOVELY (LP)",LP,19662,6.63 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",3,"CAAGBAY, JERRY (LP)",LP,16539,5.58 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",4,"MARAIG, MANUEL VICTORIO (LP)",LP,16147,5.44 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",5,"GLORIOSO, PRECY (LP)",LP,12110,4.08 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",6,"JACELA, JACKPOT MAPHET (LP)",LP,11831,3.99 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",7,"ABADILLA, REX (IND)",IND,10004,3.37 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",8,"BAASIS, PORCIE (LP)",LP,9900,3.34 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",9,"TABERNILLA, SIR ONIE (LP)",LP,9592,3.23 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",10,"DIMARANAN, KUYA ALBERT (NUP)",NUP,8475,2.86 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",11,"NADRES, PAULA BAGETS (PDPLBN)",PDP LABAN,8233,2.78 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",12,"REYES, MACKY (IND)",IND,8073,2.72 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",13,"ABRIGO, ONDONG (IND)",IND,7322,2.47 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",14,"OABEL, ROY (NUP)",NUP,7237,2.44 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",15,"VILLANUEVA, FILEMON JR. (NUP)",NUP,6937,2.34 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",16,"ROXAS, JOJI (IND)",IND,6344,2.14 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",17,"JALBUENA, STEFAN (LP)",LP,6188,2.09 %
REGION IV-A,QUEZON,TAYABAS CITY,"MEMBER, SANGGUNIANG PANLUNGSOD QUEZON - TAYABAS CITY - LONE DIST",18,"LABITIGAN, MANOLO (LP)",LP,5908,1.99 %
