region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,123139,41.83 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,75281,25.57 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,39502,13.42 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,39340,13.36 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,17004,5.78 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,147,0.05 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,123342,42.35 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,85103,29.22 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,44471,15.27 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,28765,9.88 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,4992,1.71 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,4553,1.56 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,174868,6.09 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,2,"SOTTO, VICENTE (NPC)",NPC,170945,5.95 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,3,"GORDON, DICK (IND)",IND,169414,5.90 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,4,"LACSON, PANFILO PING (IND)",IND,167559,5.84 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,5,"GATCHALIAN, WIN (NPC)",NPC,151987,5.29 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,6,"DRILON, FRANK (LP)",LP,151935,5.29 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,7,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,149831,5.22 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,140821,4.90 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,9,"PACQUIAO, MANNY (UNA)",UNA,131234,4.57 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,10,"DE LIMA, LEILA (LP)",LP,125062,4.36 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,11,"ZUBIRI, MIGZ (IND)",IND,123888,4.32 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,12,"RECTO, RALPH (LP)",LP,121096,4.22 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,13,"OSMEÑA, SERGIO III (IND)",IND,114955,4.00 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,14,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,114695,3.99 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,15,"TOLENTINO, FRANCIS (IND)",IND,106720,3.72 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,16,"DOMAGOSO, ISKO MORENO (PMP)",PMP,99652,3.47 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,17,"GUINGONA, TG (LP)",LP,78534,2.74 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,18,"COLMENARES, NERI (MKBYN)",OTHERS,63060,2.20 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,19,"LAPID, MARK (AKSYON)",AKSYON,57657,2.01 %
REGION IV-A,RIZAL,CITY OF ANTIPOLO,SENATOR PHILIPPINES,20,"ROMULO, ROMAN (IND)",IND,57259,1.99 %
