region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,3663,44.67 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2681,32.69 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,1207,14.72 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,579,7.06 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,68,0.83 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,3,0.04 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4289,55.21 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,1874,24.12 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,755,9.72 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,562,7.23 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,179,2.30 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,109,1.40 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3519,6.83 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,3493,6.78 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,3442,6.69 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,4,"DE LIMA, LEILA (LP)",LP,3056,5.94 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,5,"LACSON, PANFILO PING (IND)",IND,2920,5.67 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,6,"RECTO, RALPH (LP)",LP,2667,5.18 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,7,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,2662,5.17 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,8,"ZUBIRI, MIGZ (IND)",IND,2286,4.44 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,9,"GUINGONA, TG (LP)",LP,2083,4.05 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,10,"PACQUIAO, MANNY (UNA)",UNA,2024,3.93 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,11,"LAPID, MARK (AKSYON)",AKSYON,1951,3.79 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,12,"PETILLA, CARLOS JERICHO (LP)",LP,1782,3.46 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS (IND)",IND,1780,3.46 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,14,"GORDON, DICK (IND)",IND,1761,3.42 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,15,"DOMAGOSO, ISKO MORENO (PMP)",PMP,1710,3.32 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,16,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,1669,3.24 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,17,"GATCHALIAN, WIN (NPC)",NPC,1549,3.01 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,18,"SOTTO, VICENTE (NPC)",NPC,1506,2.93 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,19,"AMBOLODTO, INA (LP)",LP,1284,2.49 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,20,"OSMEÑA, SERGIO III (IND)",IND,1194,2.32 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,21,"PAEZ, MR. COOP (IND)",IND,825,1.60 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,22,"MANZANO, EDU (IND)",IND,692,1.34 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,23,"COLMENARES, NERI (MKBYN)",OTHERS,526,1.02 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,24,"LANGIT, REY (UNA)",UNA,450,0.87 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,25,"ROMULO, ROMAN (IND)",IND,422,0.82 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,26,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,354,0.69 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,27,"LACSAMANA, ALMA MORENO (UNA)",UNA,344,0.67 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,28,"GADON, LARRY (KBL)",KBL,305,0.59 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,29,"MONTANO, ALLAN (UNA)",UNA,300,0.58 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,30,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,249,0.48 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,31,"SANTIAGO, DIONISIO (IND)",IND,233,0.45 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,32,"BELGICA, GRECO (IND)",IND,223,0.43 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,33,"OPLE, SUSAN (NP)",NP,194,0.38 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,34,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,182,0.35 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,35,"NAPEÑAS, GETULIO (UNA)",UNA,161,0.31 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,36,"PAGDILAO, SAMUEL (IND)",IND,158,0.31 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,37,"ALBANI, SHARIFF (IND)",IND,149,0.29 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,38,"ALUNAN, RAFFY (IND)",IND,143,0.28 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,39,"MONTAÑO, MON (IND)",IND,136,0.26 %
REGION IV-B,OCCIDENTAL MINDORO,PALUAN,SENATOR PHILIPPINES,40,"PALPARAN, JOVITO JR. (IND)",IND,133,0.26 %
