region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,3040,35.62 %
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,2730,31.99 %
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2046,23.97 %
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,623,7.30 %
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,86,1.01 %
REGION IV-B,PALAWAN,CULION,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,9,0.11 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,3761,46.80 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,1811,22.53 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1389,17.28 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,650,8.09 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,252,3.14 %
REGION IV-B,PALAWAN,CULION,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,174,2.16 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,4197,6.75 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,3608,5.80 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,3,"PACQUIAO, MANNY (UNA)",UNA,3568,5.73 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,4,"LACSON, PANFILO PING (IND)",IND,3335,5.36 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,5,"DE LIMA, LEILA (LP)",LP,3314,5.33 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3223,5.18 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,7,"RECTO, RALPH (LP)",LP,3043,4.89 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,8,"SOTTO, VICENTE (NPC)",NPC,3013,4.84 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,9,"LAPID, MARK (AKSYON)",AKSYON,2506,4.03 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,2502,4.02 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,11,"GORDON, DICK (IND)",IND,2453,3.94 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,2352,3.78 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,13,"OSMEÑA, SERGIO III (IND)",IND,2121,3.41 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS (IND)",IND,2024,3.25 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,15,"GATCHALIAN, WIN (NPC)",NPC,1988,3.20 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,16,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,1885,3.03 %
REGION IV-B,PALAWAN,CULION,SENATOR PHILIPPINES,17,"GUINGONA, TG (LP)",LP,1814,2.92 %
