region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,4394,45.02 %
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,2110,21.62 %
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,1889,19.35 %
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1266,12.97 %
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,98,1.00 %
REGION IV-B,ROMBLON,LOOC,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,4,0.04 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4727,52.35 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,1641,18.17 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1384,15.33 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,665,7.37 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,406,4.50 %
REGION IV-B,ROMBLON,LOOC,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,206,2.28 %
REGION IV-B,ROMBLON,LOOC,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3854,6.85 %
REGION IV-B,ROMBLON,LOOC,SENATOR PHILIPPINES,2,"SOTTO, VICENTE (NPC)",NPC,3642,6.47 %
REGION IV-B,ROMBLON,LOOC,SENATOR PHILIPPINES,3,"GATCHALIAN, WIN (NPC)",NPC,3489,6.20 %
