region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,8850,51.08 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,4601,26.56 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,2929,16.91 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,830,4.79 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,110,0.63 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,6,0.03 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,5362,36.92 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,3435,23.65 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,3,"ROBREDO, LENI DAANG MATUWID (LP)",LP,3331,22.93 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1690,11.64 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,457,3.15 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,250,1.72 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,1,"SOTTO, VICENTE (NPC)",NPC,6723,6.44 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,6679,6.40 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,3,"RECTO, RALPH (LP)",LP,6023,5.77 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,4,"GATCHALIAN, WIN (NPC)",NPC,5971,5.72 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,5,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,5962,5.71 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,6,"GORDON, DICK (IND)",IND,5841,5.59 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,7,"OSMEÑA, SERGIO III (IND)",IND,5641,5.40 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,8,"TOLENTINO, FRANCIS (IND)",IND,5494,5.26 %
REGION IX,ZAMBOANGA DEL SUR,TUKURAN,SENATOR PHILIPPINES,9,"PACQUIAO, MANNY (UNA)",UNA,5276,5.05 %
