region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,8346,50.80 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,4849,29.51 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,2143,13.04 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1023,6.23 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,63,0.38 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,6,0.04 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,6385,43.27 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,3524,23.88 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,2582,17.50 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1435,9.72 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,427,2.89 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,403,2.73 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,5761,6.80 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,5405,6.38 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,5352,6.31 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,4,"DE LIMA, LEILA (LP)",LP,4163,4.91 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,5,"ZUBIRI, MIGZ (IND)",IND,4065,4.80 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,3929,4.64 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,7,"RECTO, RALPH (LP)",LP,3816,4.50 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,8,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3667,4.33 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,9,"GUINGONA, TG (LP)",LP,3479,4.10 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,10,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,3398,4.01 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,11,"TOLENTINO, FRANCIS (IND)",IND,3275,3.86 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,12,"PETILLA, CARLOS JERICHO (LP)",LP,3096,3.65 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,13,"GATCHALIAN, WIN (NPC)",NPC,3045,3.59 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,14,"LACSON, PANFILO PING (IND)",IND,2841,3.35 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,15,"SOTTO, VICENTE (NPC)",NPC,2835,3.34 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,16,"GORDON, DICK (IND)",IND,2718,3.21 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,17,"OSMEÑA, SERGIO III (IND)",IND,2529,2.98 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,18,"LAPID, MARK (AKSYON)",AKSYON,2493,2.94 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,19,"DOMAGOSO, ISKO MORENO (PMP)",PMP,1791,2.11 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,20,"ALBANI, SHARIFF (IND)",IND,1700,2.01 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,21,"MANZANO, EDU (IND)",IND,1563,1.84 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,22,"AMBOLODTO, INA (LP)",LP,1480,1.75 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,23,"MONTANO, ALLAN (UNA)",UNA,917,1.08 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,24,"COLMENARES, NERI (MKBYN)",OTHERS,872,1.03 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,25,"KIRAM, PRINCESS JACEL (UNA)",UNA,839,0.99 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,727,0.86 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,27,"ROMULO, ROMAN (IND)",IND,650,0.77 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,28,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,630,0.74 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,29,"SANTIAGO, DIONISIO (IND)",IND,562,0.66 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,30,"LACSAMANA, ALMA MORENO (UNA)",UNA,552,0.65 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,31,"PAEZ, MR. COOP (IND)",IND,528,0.62 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,32,"ALI, ALDIN (WPPPMM)",WPP/PMM,495,0.58 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,33,"MONTAÑO, MON (IND)",IND,493,0.58 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,34,"NAPEÑAS, GETULIO (UNA)",UNA,395,0.47 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,35,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,391,0.46 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,36,"ALUNAN, RAFFY (IND)",IND,372,0.44 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,37,"OPLE, SUSAN (NP)",NP,362,0.43 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,38,"ARQUIZA, GODOFREDO (IND)",IND,360,0.42 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,39,"BELLO, WALDEN (IND)",IND,348,0.41 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,40,"BELGICA, GRECO (IND)",IND,344,0.41 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,41,"PAGDILAO, SAMUEL (IND)",IND,296,0.35 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,42,"LANGIT, REY (UNA)",UNA,296,0.35 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,43,"BALIGOD, LEVITO (IND)",IND,293,0.35 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,44,"DORONA, RAY (IND)",IND,286,0.34 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,45,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,264,0.31 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,46,"CAM, SANDRA (PMP)",PMP,245,0.29 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,47,"PALPARAN, JOVITO JR. (IND)",IND,242,0.29 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,48,"KABALU, EID (IND)",IND,210,0.25 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,49,"LIBAN, DANTE (IND)",IND,203,0.24 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,SENATOR PHILIPPINES,50,"VALEROSO, DIOSDADO (IND)",IND,195,0.23 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL GOVERNOR ZAMBOANGA SIBUGAY,1,"PALMA, WILTER (LP)",LP,11739,76.95 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL GOVERNOR ZAMBOANGA SIBUGAY,2,"JALOSJOS, JAN-JAN (NP)",NP,3403,22.31 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL GOVERNOR ZAMBOANGA SIBUGAY,3,"BENEDICTO, GERRYBOY (IND)",IND,46,0.30 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL GOVERNOR ZAMBOANGA SIBUGAY,4,"NATIVIDAD, JAIME (NUP)",NUP,42,0.28 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL GOVERNOR ZAMBOANGA SIBUGAY,5,"BRITO, JOEL (IND)",IND,26,0.17 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL VICE-GOVERNOR ZAMBOANGA SIBUGAY,1,"ALIBUTDAN, ELDWIN (LP)",LP,7144,52.81 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL VICE-GOVERNOR ZAMBOANGA SIBUGAY,2,"YAMBAO, JONATHAN (NP)",NP,5463,40.38 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,PROVINCIAL VICE-GOVERNOR ZAMBOANGA SIBUGAY,3,"JALOSJOS, ROMMEL (IND)",IND,922,6.81 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",1,"MUSA, BOBBY (LP)",LP,9391,18.88 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",2,"ESCAMILLAN, ALLAN (LP)",LP,7628,15.34 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",3,"AHIRON, SAID (NP)",NP,5620,11.30 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",4,"PALMA, ERIC (LP)",LP,5550,11.16 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",5,"JORE, LESLIEJOY (NP)",NP,3599,7.24 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",6,"CALONGE, EDITHA (NP)",NP,3515,7.07 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",7,"YUAYAN, ARIEL (IND)",IND,3062,6.16 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",8,"LIM, ARNULFO (LP)",LP,2478,4.98 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",9,"ALCANTARA, RONNIE (LP)",LP,2142,4.31 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",10,"CABILAO, FELIX (NP)",NP,1821,3.66 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",11,"JUMAWAN, LEO (NP)",NP,1473,2.96 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",12,"ISMAEL, JAINUL (KBL)",KBL,996,2.00 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",13,"PARRILLA, VENZON (IND)",IND,753,1.51 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",14,"MAÑALAC, ARMANDO (IND)",IND,546,1.10 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",15,"TURNO, PASTOR SAM (IND)",IND,303,0.61 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",16,"OGAPAY, CARLITO (KBL)",KBL,269,0.54 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",17,"TULABING, NORMAN (IND)",IND,224,0.45 %
REGION IX,ZAMBOANGA SIBUGAY,ALICIA,"MEMBER, SANGGUNIANG PANLALAWIGAN ZAMBOANGA SIBUGAY - FIRST PROVDIST",18,"UDTUHAN, SAMUEL (KBL)",KBL,192,0.39 %
