region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,9100,49.84 %
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,4432,24.27 %
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2866,15.70 %
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1571,8.60 %
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,272,1.49 %
REGION V,CAMARINES NORTE,BASUD,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,18,0.10 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,10581,58.98 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,2,"ESCUDERO, CHIZ (IND)",IND,4347,24.23 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1866,10.40 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,574,3.20 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,340,1.90 %
REGION V,CAMARINES NORTE,BASUD,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,232,1.29 %
REGION V,CAMARINES NORTE,BASUD,SENATOR PHILIPPINES,1,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,8721,6.39 %
REGION V,CAMARINES NORTE,BASUD,SENATOR PHILIPPINES,2,"LACSON, PANFILO PING (IND)",IND,8169,5.99 %
