region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,8177,52.08 %
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,3465,22.07 %
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2620,16.69 %
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1226,7.81 %
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,184,1.17 %
REGION V,MASBATE,MANDAON,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,29,0.18 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,8895,61.33 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,2329,16.06 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1495,10.31 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,949,6.54 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,447,3.08 %
REGION V,MASBATE,MANDAON,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,388,2.68 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,5756,6.05 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,2,"PACQUIAO, MANNY (UNA)",UNA,5350,5.63 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,3,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,4978,5.24 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,4,"GATCHALIAN, WIN (NPC)",NPC,4792,5.04 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,5,"LACSON, PANFILO PING (IND)",IND,4709,4.95 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,6,"PANGILINAN, KIKO (LP)",LP,4522,4.76 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,7,"DE LIMA, LEILA (LP)",LP,4259,4.48 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,8,"SOTTO, VICENTE (NPC)",NPC,4192,4.41 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,9,"RECTO, RALPH (LP)",LP,3833,4.03 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,3822,4.02 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,11,"GORDON, DICK (IND)",IND,3798,3.99 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,12,"OSMEÑA, SERGIO III (IND)",IND,3652,3.84 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS (IND)",IND,3475,3.65 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,14,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,3181,3.35 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,15,"ZUBIRI, MIGZ (IND)",IND,3176,3.34 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,16,"DOMAGOSO, ISKO MORENO (PMP)",PMP,2903,3.05 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,17,"LAPID, MARK (AKSYON)",AKSYON,2562,2.69 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,18,"GUINGONA, TG (LP)",LP,2273,2.39 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,19,"COLMENARES, NERI (MKBYN)",OTHERS,2043,2.15 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,20,"MANZANO, EDU (IND)",IND,2014,2.12 %
REGION V,MASBATE,MANDAON,SENATOR PHILIPPINES,21,"PETILLA, CARLOS JERICHO (LP)",LP,1904,2.00 %
