region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,1514,37.18 %
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,1153,28.32 %
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,730,17.93 %
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,579,14.22 %
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,94,2.31 %
REGION V,SORSOGON,SANTA MAGDALENA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,2,0.05 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,1,"ESCUDERO, CHIZ (IND)",IND,2048,51.57 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,1411,35.53 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,314,7.91 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,107,2.69 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,59,1.49 %
REGION V,SORSOGON,SANTA MAGDALENA,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,32,0.81 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,1883,6.55 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,2,"SOTTO, VICENTE (NPC)",NPC,1750,6.08 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,3,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,1731,6.02 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,4,"DE LIMA, LEILA (LP)",LP,1672,5.81 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,1561,5.43 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,1509,5.25 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,7,"RECTO, RALPH (LP)",LP,1417,4.93 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,8,"LACSON, PANFILO PING (IND)",IND,1380,4.80 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,9,"GORDON, DICK (IND)",IND,1323,4.60 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,10,"PACQUIAO, MANNY (UNA)",UNA,1307,4.54 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,1252,4.35 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,1162,4.04 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS (IND)",IND,1041,3.62 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,14,"OSMEÑA, SERGIO III (IND)",IND,998,3.47 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,15,"DOMAGOSO, ISKO MORENO (PMP)",PMP,954,3.32 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,16,"GUINGONA, TG (LP)",LP,886,3.08 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,17,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,853,2.97 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,18,"PETILLA, CARLOS JERICHO (LP)",LP,780,2.71 %
REGION V,SORSOGON,SANTA MAGDALENA,SENATOR PHILIPPINES,19,"LAPID, MARK (AKSYON)",AKSYON,609,2.12 %
