region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,12051,62.05 %
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,2,"BINAY, JOJO (UNA)",UNA,3756,19.34 %
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,1607,8.27 %
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,4,"DUTERTE, RODY (PDPLBN)",PDP LABAN,1485,7.65 %
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,510,2.63 %
REGION VI,GUIMARAS,NUEVA VALENCIA,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,13,0.07 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,12893,69.95 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,2,"HONASAN, GRINGO (UNA)",UNA,2215,12.02 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1192,6.47 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1129,6.13 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,705,3.83 %
REGION VI,GUIMARAS,NUEVA VALENCIA,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,297,1.61 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,12773,10.17 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,9292,7.40 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,3,"GUINGONA, TG (LP)",LP,7381,5.88 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,4,"DE LIMA, LEILA (LP)",LP,7273,5.79 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,5,"RECTO, RALPH (LP)",LP,6990,5.57 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,6486,5.17 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,7,"ZUBIRI, MIGZ (IND)",IND,6454,5.14 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,8,"PACQUIAO, MANNY (UNA)",UNA,6065,4.83 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,9,"PETILLA, CARLOS JERICHO (LP)",LP,5093,4.06 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,4496,3.58 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,11,"LAPID, MARK (AKSYON)",AKSYON,4010,3.19 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,12,"DOMAGOSO, ISKO MORENO (PMP)",PMP,3988,3.18 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,13,"GORDON, DICK (IND)",IND,3718,2.96 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,14,"GATCHALIAN, WIN (NPC)",NPC,3552,2.83 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,15,"OSMEÑA, SERGIO III (IND)",IND,3382,2.69 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,16,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,3270,2.60 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,17,"AMBOLODTO, INA (LP)",LP,3190,2.54 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,18,"LACSON, PANFILO PING (IND)",IND,3133,2.50 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,19,"SOTTO, VICENTE (NPC)",NPC,3094,2.46 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,20,"TOLENTINO, FRANCIS (IND)",IND,3065,2.44 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,21,"COLMENARES, NERI (MKBYN)",OTHERS,1974,1.57 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,22,"LACSAMANA, ALMA MORENO (UNA)",UNA,1959,1.56 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,23,"LANGIT, REY (UNA)",UNA,1836,1.46 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,24,"MONTANO, ALLAN (UNA)",UNA,1813,1.44 %
REGION VI,GUIMARAS,NUEVA VALENCIA,SENATOR PHILIPPINES,25,"MANZANO, EDU (IND)",IND,1599,1.27 %
