region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,4991,50.94 %
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,2877,29.37 %
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,1280,13.07 %
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,398,4.06 %
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,243,2.48 %
REGION VI,ILOILO,BATAD,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,8,0.08 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,5156,56.33 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,1366,14.92 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1359,14.85 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,4,"TRILLANES, ANTONIO IV (IND)",IND,612,6.69 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,498,5.44 %
REGION VI,ILOILO,BATAD,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,162,1.77 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,5853,9.32 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,2,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,3632,5.79 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,3,"ZUBIRI, MIGZ (IND)",IND,3493,5.56 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,4,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3420,5.45 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,3405,5.42 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,3259,5.19 %
REGION VI,ILOILO,BATAD,SENATOR PHILIPPINES,7,"TOLENTINO, FRANCIS (IND)",IND,3247,5.17 %
