region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,11342,45.47 %
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,10275,41.19 %
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,2024,8.11 %
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1045,4.19 %
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,238,0.95 %
REGION VII,CEBU,DUMANJUG,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,19,0.08 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,12103,51.36 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,7483,31.76 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1863,7.91 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1460,6.20 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,329,1.40 %
REGION VII,CEBU,DUMANJUG,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,326,1.38 %
REGION VII,CEBU,DUMANJUG,SENATOR PHILIPPINES,1,"DRILON, FRANK (LP)",LP,10446,6.42 %
REGION VII,CEBU,DUMANJUG,SENATOR PHILIPPINES,2,"PETILLA, CARLOS JERICHO (LP)",LP,10073,6.19 %
