region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,25746,49.98 %
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,18698,36.30 %
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,4748,9.22 %
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1709,3.32 %
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,580,1.13 %
REGION VII,CEBU,NAGA CITY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,33,0.06 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,17326,35.11 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,16332,33.10 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,8146,16.51 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,4,"MARCOS, BONGBONG (IND)",IND,5916,11.99 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,931,1.89 %
REGION VII,CEBU,NAGA CITY,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,696,1.41 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,1,"OSMEÑA, SERGIO III (IND)",IND,25103,6.38 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,2,"DRILON, FRANK (LP)",LP,24765,6.29 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,3,"ZUBIRI, MIGZ (IND)",IND,23071,5.86 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,4,"PACQUIAO, MANNY (UNA)",UNA,22355,5.68 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,5,"SOTTO, VICENTE (NPC)",NPC,21528,5.47 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,6,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,20233,5.14 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,18640,4.74 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,18278,4.64 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,9,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,17805,4.52 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,10,"GORDON, DICK (IND)",IND,17352,4.41 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,11,"LACSON, PANFILO PING (IND)",IND,17199,4.37 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS (IND)",IND,17072,4.34 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,13,"PETILLA, CARLOS JERICHO (LP)",LP,16550,4.20 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,14,"RECTO, RALPH (LP)",LP,15027,3.82 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,15,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,14525,3.69 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,16,"GUINGONA, TG (LP)",LP,14242,3.62 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,17,"DE LIMA, LEILA (LP)",LP,13838,3.52 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,18,"DOMAGOSO, ISKO MORENO (PMP)",PMP,11477,2.92 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,19,"ROMULO, ROMAN (IND)",IND,7213,1.83 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,20,"MANZANO, EDU (IND)",IND,7189,1.83 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,21,"COLMENARES, NERI (MKBYN)",OTHERS,7006,1.78 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,22,"LAPID, MARK (AKSYON)",AKSYON,4967,1.26 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,23,"OPLE, SUSAN (NP)",NP,2831,0.72 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,24,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,2594,0.66 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,25,"LACSAMANA, ALMA MORENO (UNA)",UNA,2487,0.63 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,26,"SANTIAGO, DIONISIO (IND)",IND,2421,0.62 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,27,"ALUNAN, RAFFY (IND)",IND,2134,0.54 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,28,"MONTANO, ALLAN (UNA)",UNA,2100,0.53 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,29,"GADON, LARRY (KBL)",KBL,2069,0.53 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,30,"BELGICA, GRECO (IND)",IND,1988,0.51 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,31,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,1703,0.43 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,32,"PAGDILAO, SAMUEL (IND)",IND,1509,0.38 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,33,"AMBOLODTO, INA (LP)",LP,1495,0.38 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,34,"NAPEÑAS, GETULIO (UNA)",UNA,1107,0.28 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,35,"CAM, SANDRA (PMP)",PMP,1067,0.27 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,36,"PAEZ, MR. COOP (IND)",IND,1057,0.27 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,37,"LANGIT, REY (UNA)",UNA,1001,0.25 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,38,"MONTAÑO, MON (IND)",IND,998,0.25 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,39,"BELLO, WALDEN (IND)",IND,989,0.25 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,40,"ARQUIZA, GODOFREDO (IND)",IND,984,0.25 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,41,"ALBANI, SHARIFF (IND)",IND,964,0.24 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,42,"PALPARAN, JOVITO JR. (IND)",IND,920,0.23 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,43,"ALI, ALDIN (WPPPMM)",WPP/PMM,897,0.23 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,44,"LIBAN, DANTE (IND)",IND,884,0.22 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,45,"DORONA, RAY (IND)",IND,781,0.20 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,46,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,730,0.19 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,47,"VALEROSO, DIOSDADO (IND)",IND,729,0.19 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,48,"KIRAM, PRINCESS JACEL (UNA)",UNA,693,0.18 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,49,"BALIGOD, LEVITO (IND)",IND,665,0.17 %
REGION VII,CEBU,NAGA CITY,SENATOR PHILIPPINES,50,"KABALU, EID (IND)",IND,389,0.10 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,1,"DAVIDE, HILARIO III (LP)",LP,22384,51.34 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,2,"GARCIA, WINSTON (1CEBU)",ONE CEBU,17670,40.52 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,3,"PATALINGHUG, BOY LIDO (KBL)",KBL,1443,3.31 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,4,"CORTES, KLASMIT BOYET (IND)",IND,1318,3.02 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,5,"ESTINOZO, DESIDERIO (IND)",IND,513,1.18 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL GOVERNOR CEBU,6,"MAGNANAO, NITO (IND)",IND,275,0.63 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL VICE-GOVERNOR CEBU,1,"MAGPALE, AGNES (LP)",LP,27861,67.46 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL VICE-GOVERNOR CEBU,2,"SOON-RUIZ, NERISSA (1CEBU)",ONE CEBU,11585,28.05 %
REGION VII,CEBU,NAGA CITY,PROVINCIAL VICE-GOVERNOR CEBU,3,"MONTENEGRO, NENE (IND)",IND,1853,4.49 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",1,"DAAN, YOLY (NP)",NP,27016,39.13 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",2,"BACALTOS, RAUL (IND)",IND,13723,19.88 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",3,"ALBOR, CESAR (1CEBU)",ONE CEBU,9782,14.17 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",4,"ALCOSEBA, RAMON (LP)",LP,5412,7.84 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",5,"SANCHEZ, MANNY (IND)",IND,4247,6.15 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",6,"ADLAWAN, EDDIE (KBL)",KBL,3719,5.39 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",7,"PATALINGHUG, BERTING (KBL)",KBL,2053,2.97 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",8,"ORO, DOK ABET (PDPLBN)",PDP LABAN,1423,2.06 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",9,"CANTON, OSCAR (PROMDI)",OTHERS,974,1.41 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLALAWIGAN CEBU - FIRST PROVDIST",10,"SATINITIGAN, DANNY (IND)",IND,689,1.00 %
REGION VII,CEBU,NAGA CITY,"MEMBER, HOUSE OF REPRESENTATIVES CEBU - FIRST LEGDIST",1,"GULLAS, SAMSAM (NP)",NP,29923,62.77 %
REGION VII,CEBU,NAGA CITY,"MEMBER, HOUSE OF REPRESENTATIVES CEBU - FIRST LEGDIST",2,"CANOY, ABE (NPC)",NPC,16937,35.53 %
REGION VII,CEBU,NAGA CITY,"MEMBER, HOUSE OF REPRESENTATIVES CEBU - FIRST LEGDIST",3,"NUÑEZ, DOC MIKE (PDPLBN)",PDP LABAN,810,1.70 %
REGION VII,CEBU,NAGA CITY,MAYOR CEBU - NAGA CITY,1,"CHIONG, KRISTINE VANESSA (NP)",NP,38260,75.17 %
REGION VII,CEBU,NAGA CITY,MAYOR CEBU - NAGA CITY,2,"DEL MAR, VENCI (LP)",LP,12638,24.83 %
REGION VII,CEBU,NAGA CITY,VICE-MAYOR CEBU - NAGA CITY,1,"CHIONG, BOY (NP)",NP,32620,71.14 %
REGION VII,CEBU,NAGA CITY,VICE-MAYOR CEBU - NAGA CITY,2,"YABUT, LANDO (LP)",LP,13235,28.86 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLUNGSOD CEBU - NAGA CITY - LONE DIST",1,"LARA, ALEX (NP)",NP,31739,8.78 %
REGION VII,CEBU,NAGA CITY,"MEMBER, SANGGUNIANG PANLUNGSOD CEBU - NAGA CITY - LONE DIST",2,"CHIONG, JINGJING (NP)",NP,26764,7.40 %
