region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,1,"POE, GRACE (IND)",IND,2868,29.46 %
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,2481,25.49 %
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,3,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2207,22.67 %
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,1997,20.51 %
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,171,1.76 %
REGION VIII,EASTERN SAMAR,TAFT,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,11,0.11 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,3192,35.53 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,2929,32.61 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,3,"ESCUDERO, CHIZ (IND)",IND,1675,18.65 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,548,6.10 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,386,4.30 %
REGION VIII,EASTERN SAMAR,TAFT,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,253,2.82 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,1,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,4998,8.86 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,2,"PETILLA, CARLOS JERICHO (LP)",LP,4389,7.78 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,3,"LACSON, PANFILO PING (IND)",IND,2827,5.01 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,4,"SOTTO, VICENTE (NPC)",NPC,2819,5.00 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,5,"DRILON, FRANK (LP)",LP,2812,4.99 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,6,"DE LIMA, LEILA (LP)",LP,2660,4.72 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,7,"GORDON, DICK (IND)",IND,2628,4.66 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,8,"PACQUIAO, MANNY (UNA)",UNA,2563,4.55 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,9,"PANGILINAN, KIKO (LP)",LP,2512,4.46 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,2463,4.37 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,11,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,2433,4.32 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,2164,3.84 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,13,"GATCHALIAN, WIN (NPC)",NPC,2019,3.58 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS (IND)",IND,1942,3.44 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,15,"RECTO, RALPH (LP)",LP,1844,3.27 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,16,"OSMEÑA, SERGIO III (IND)",IND,1739,3.08 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,17,"DOMAGOSO, ISKO MORENO (PMP)",PMP,1505,2.67 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,18,"LAPID, MARK (AKSYON)",AKSYON,1250,2.22 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,19,"COLMENARES, NERI (MKBYN)",OTHERS,1147,2.03 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,20,"GUINGONA, TG (LP)",LP,1127,2.00 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,21,"MANZANO, EDU (IND)",IND,911,1.62 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,22,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,640,1.14 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,23,"ROMULO, ROMAN (IND)",IND,618,1.10 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,24,"MONTANO, ALLAN (UNA)",UNA,473,0.84 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,25,"LACSAMANA, ALMA MORENO (UNA)",UNA,430,0.76 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,26,"GADON, LARRY (KBL)",KBL,404,0.72 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,27,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,347,0.62 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,28,"SANTIAGO, DIONISIO (IND)",IND,336,0.60 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,29,"LANGIT, REY (UNA)",UNA,326,0.58 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,30,"PALPARAN, JOVITO JR. (IND)",IND,310,0.55 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,31,"OPLE, SUSAN (NP)",NP,295,0.52 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,32,"NAPEÑAS, GETULIO (UNA)",UNA,284,0.50 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,33,"MONTAÑO, MON (IND)",IND,232,0.41 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,34,"BELLO, WALDEN (IND)",IND,231,0.41 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,35,"AMBOLODTO, INA (LP)",LP,230,0.41 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,36,"BELGICA, GRECO (IND)",IND,228,0.40 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,37,"ALUNAN, RAFFY (IND)",IND,217,0.38 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,38,"ALBANI, SHARIFF (IND)",IND,215,0.38 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,39,"PAGDILAO, SAMUEL (IND)",IND,204,0.36 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,40,"ALI, ALDIN (WPPPMM)",WPP/PMM,176,0.31 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,41,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,163,0.29 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,42,"ARQUIZA, GODOFREDO (IND)",IND,162,0.29 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,43,"PAEZ, MR. COOP (IND)",IND,155,0.27 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,44,"BALIGOD, LEVITO (IND)",IND,151,0.27 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,45,"LIBAN, DANTE (IND)",IND,148,0.26 %
REGION VIII,EASTERN SAMAR,TAFT,SENATOR PHILIPPINES,46,"DORONA, RAY (IND)",IND,145,0.26 %
