region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,49006,62.53 %
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,13769,17.57 %
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,3,"ROXAS, MAR DAANG MATUWID (LP)",LP,12938,16.51 %
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,2109,2.69 %
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,500,0.64 %
REGION X,BUKIDNON,VALENCIA  CITY,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,48,0.06 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,24603,32.68 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,22534,29.93 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,17962,23.86 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,7523,9.99 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,1468,1.95 %
REGION X,BUKIDNON,VALENCIA  CITY,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,1195,1.59 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,52989,10.05 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,2,"GUINGONA, TG (LP)",LP,41261,7.83 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,3,"PACQUIAO, MANNY (UNA)",UNA,31453,5.97 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,4,"DRILON, FRANK (LP)",LP,29267,5.55 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,5,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,25000,4.74 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,6,"LACSON, PANFILO PING (IND)",IND,24968,4.74 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,7,"PANGILINAN, KIKO (LP)",LP,24773,4.70 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,8,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,24579,4.66 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,9,"TOLENTINO, FRANCIS (IND)",IND,23999,4.55 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,10,"OSMEÑA, SERGIO III (IND)",IND,23285,4.42 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,22274,4.23 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,12,"GORDON, DICK (IND)",IND,21890,4.15 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,13,"RECTO, RALPH (LP)",LP,20892,3.96 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,14,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,20445,3.88 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,15,"SOTTO, VICENTE (NPC)",NPC,20263,3.84 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,16,"DE LIMA, LEILA (LP)",LP,18407,3.49 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,17,"DOMAGOSO, ISKO MORENO (PMP)",PMP,15380,2.92 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,18,"COLMENARES, NERI (MKBYN)",OTHERS,12610,2.39 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,19,"MANZANO, EDU (IND)",IND,9930,1.88 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,20,"PETILLA, CARLOS JERICHO (LP)",LP,7609,1.44 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,21,"LAPID, MARK (AKSYON)",AKSYON,7543,1.43 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,22,"ROMULO, ROMAN (IND)",IND,5324,1.01 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,23,"SANTIAGO, DIONISIO (IND)",IND,3487,0.66 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,24,"GADON, LARRY (KBL)",KBL,3094,0.59 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,25,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,3036,0.58 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,26,"LACSAMANA, ALMA MORENO (UNA)",UNA,2971,0.56 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,27,"MONTANO, ALLAN (UNA)",UNA,2683,0.51 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,28,"ALUNAN, RAFFY (IND)",IND,2428,0.46 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,29,"BELGICA, GRECO (IND)",IND,2212,0.42 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,30,"OPLE, SUSAN (NP)",NP,2053,0.39 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,31,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,2036,0.39 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,32,"PAGDILAO, SAMUEL (IND)",IND,1712,0.32 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,33,"MONTAÑO, MON (IND)",IND,1422,0.27 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,34,"BELLO, WALDEN (IND)",IND,1360,0.26 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,35,"NAPEÑAS, GETULIO (UNA)",UNA,1317,0.25 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,36,"ARQUIZA, GODOFREDO (IND)",IND,1212,0.23 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,37,"CAM, SANDRA (PMP)",PMP,1145,0.22 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,38,"ALBANI, SHARIFF (IND)",IND,1106,0.21 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,39,"PALPARAN, JOVITO JR. (IND)",IND,1068,0.20 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,40,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,884,0.17 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,41,"AMBOLODTO, INA (LP)",LP,880,0.17 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,42,"VALEROSO, DIOSDADO (IND)",IND,879,0.17 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,43,"PAEZ, MR. COOP (IND)",IND,824,0.16 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,44,"LIBAN, DANTE (IND)",IND,823,0.16 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,45,"DORONA, RAY (IND)",IND,804,0.15 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,46,"LANGIT, REY (UNA)",UNA,800,0.15 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,47,"ALI, ALDIN (WPPPMM)",WPP/PMM,789,0.15 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,48,"KIRAM, PRINCESS JACEL (UNA)",UNA,770,0.15 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,49,"BALIGOD, LEVITO (IND)",IND,636,0.12 %
REGION X,BUKIDNON,VALENCIA  CITY,SENATOR PHILIPPINES,50,"KABALU, EID (IND)",IND,425,0.08 %
REGION X,BUKIDNON,VALENCIA  CITY,PROVINCIAL GOVERNOR BUKIDNON,1,"ZUBIRI, JOSE MARIA JR. (BPP)",BPP,51580,75.13 %
REGION X,BUKIDNON,VALENCIA  CITY,PROVINCIAL GOVERNOR BUKIDNON,2,"TABIOS, DIOSDADO (IND)",IND,16107,23.46 %
