region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,10718,82.39 %
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,2,"POE, GRACE (IND)",IND,1034,7.95 %
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,727,5.59 %
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,4,"ROXAS, MAR DAANG MATUWID (LP)",LP,474,3.64 %
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,49,0.38 %
REGION X,LANAO DEL NORTE,BALOI,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,7,0.05 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,4719,39.40 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,3280,27.39 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,2029,16.94 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,852,7.11 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,565,4.72 %
REGION X,LANAO DEL NORTE,BALOI,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,531,4.43 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,1,"ALI, ALDIN (WPPPMM)",WPP/PMM,5309,5.59 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,5286,5.57 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,3,"DRILON, FRANK (LP)",LP,4437,4.68 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,4,"PACQUIAO, MANNY (UNA)",UNA,4315,4.55 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,4172,4.40 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,6,"GORDON, DICK (IND)",IND,3823,4.03 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,7,"TOLENTINO, FRANCIS (IND)",IND,3671,3.87 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,8,"DE LIMA, LEILA (LP)",LP,3654,3.85 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,9,"GUINGONA, TG (LP)",LP,3591,3.78 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,10,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,3539,3.73 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,11,"GATCHALIAN, WIN (NPC)",NPC,3285,3.46 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,12,"OSMEÑA, SERGIO III (IND)",IND,3236,3.41 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,13,"LACSON, PANFILO PING (IND)",IND,3195,3.37 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,14,"RECTO, RALPH (LP)",LP,2923,3.08 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,15,"SOTTO, VICENTE (NPC)",NPC,2881,3.04 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,16,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,2819,2.97 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR PHILIPPINES,17,"ALBANI, SHARIFF (IND)",IND,2414,2.54 %
