region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,1,"ROXAS, MAR DAANG MATUWID (LP)",LP,19462,86.16 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,2,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2631,11.65 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,3,"BINAY, JOJO (UNA)",UNA,283,1.25 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,4,"POE, GRACE (IND)",IND,201,0.89 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,8,0.04 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,4,0.02 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (IND)",IND,20023,88.88 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,2,"ROBREDO, LENI DAANG MATUWID (LP)",LP,1800,7.99 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,412,1.83 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,177,0.79 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,61,0.27 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,55,0.24 %
REGION X,LANAO DEL NORTE,SULTAN NAGA DIMAPORO  (KAROMATAN),SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,19803,8.44 %
