region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,7549,54.13 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,4667,33.46 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,1293,9.27 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,354,2.54 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,80,0.57 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,4,0.03 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,5920,45.76 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,3802,29.39 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,1735,13.41 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1110,8.58 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,5,"TRILLANES, ANTONIO IV (IND)",IND,212,1.64 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,VICE-PRESIDENT PHILIPPINES,6,"HONASAN, GRINGO (UNA)",UNA,158,1.22 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,6849,8.80 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,2,"GUINGONA, TG (LP)",LP,4977,6.39 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,3,"PACQUIAO, MANNY (UNA)",UNA,4957,6.37 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,4,"DRILON, FRANK (LP)",LP,4490,5.77 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,3870,4.97 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,6,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,3448,4.43 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,7,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3307,4.25 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,8,"DE LIMA, LEILA (LP)",LP,3250,4.17 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,9,"LACSON, PANFILO PING (IND)",IND,3175,4.08 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,10,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,3071,3.94 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,11,"RECTO, RALPH (LP)",LP,3002,3.86 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,12,"OSMEÑA, SERGIO III (IND)",IND,3000,3.85 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,13,"GATCHALIAN, WIN (NPC)",NPC,2891,3.71 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,14,"TOLENTINO, FRANCIS (IND)",IND,2773,3.56 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,15,"GORDON, DICK (IND)",IND,2729,3.51 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI (MKBYN)",OTHERS,2686,3.45 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,17,"SOTTO, VICENTE (NPC)",NPC,2644,3.40 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,18,"DOMAGOSO, ISKO MORENO (PMP)",PMP,2127,2.73 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,19,"PETILLA, CARLOS JERICHO (LP)",LP,1678,2.16 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,20,"LAPID, MARK (AKSYON)",AKSYON,1610,2.07 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,21,"PAEZ, MR. COOP (IND)",IND,1468,1.89 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,22,"MANZANO, EDU (IND)",IND,1393,1.79 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,23,"PAGDILAO, SAMUEL (IND)",IND,1314,1.69 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,24,"ROMULO, ROMAN (IND)",IND,913,1.17 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,25,"SANTIAGO, DIONISIO (IND)",IND,486,0.62 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,26,"OPLE, SUSAN (NP)",NP,481,0.62 %
REGION X,MISAMIS OCCIDENTAL,ALORAN,SENATOR PHILIPPINES,27,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,441,0.57 %
