region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,10951,63.36 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,4000,23.14 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,1353,7.83 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,897,5.19 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,69,0.40 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,15,0.09 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,7989,50.68 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,3306,20.97 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,2095,13.29 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,1115,7.07 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,825,5.23 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,433,2.75 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,8101,8.39 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,2,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,5776,5.98 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,3,"DRILON, FRANK (LP)",LP,4461,4.62 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,4,"AMBOLODTO, INA (LP)",LP,4018,4.16 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,5,"PETILLA, CARLOS JERICHO (LP)",LP,3985,4.13 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,6,"PANGILINAN, KIKO (LP)",LP,3883,4.02 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,7,"ZUBIRI, MIGZ (IND)",IND,3702,3.83 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,8,"LAPID, MARK (AKSYON)",AKSYON,3442,3.56 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,9,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,3397,3.52 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,10,"LACSON, PANFILO PING (IND)",IND,3237,3.35 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,11,"TOLENTINO, FRANCIS (IND)",IND,3228,3.34 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,12,"DE LIMA, LEILA (LP)",LP,3207,3.32 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,13,"GORDON, DICK (IND)",IND,3019,3.13 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,14,"ALI, ALDIN (WPPPMM)",WPP/PMM,2931,3.04 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,15,"SOTTO, VICENTE (NPC)",NPC,2833,2.93 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,16,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,2805,2.90 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,17,"RECTO, RALPH (LP)",LP,2714,2.81 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,18,"ALBANI, SHARIFF (IND)",IND,2652,2.75 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,19,"GATCHALIAN, WIN (NPC)",NPC,2645,2.74 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,20,"OSMEÑA, SERGIO III (IND)",IND,2405,2.49 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,21,"KIRAM, PRINCESS JACEL (UNA)",UNA,2393,2.48 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,22,"GUINGONA, TG (LP)",LP,2020,2.09 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,23,"MANZANO, EDU (IND)",IND,1777,1.84 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,24,"DOMAGOSO, ISKO MORENO (PMP)",PMP,1221,1.26 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,25,"MONTANO, ALLAN (UNA)",UNA,1219,1.26 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,26,"LACSAMANA, ALMA MORENO (UNA)",UNA,944,0.98 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,27,"SANTIAGO, DIONISIO (IND)",IND,913,0.95 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,28,"ROMULO, ROMAN (IND)",IND,852,0.88 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,29,"GADON, LARRY (KBL)",KBL,836,0.87 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,30,"ALUNAN, RAFFY (IND)",IND,828,0.86 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,31,"COLMENARES, NERI (MKBYN)",OTHERS,823,0.85 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,32,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,780,0.81 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,33,"NAPEÑAS, GETULIO (UNA)",UNA,768,0.80 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,34,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,747,0.77 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,35,"CAM, SANDRA (PMP)",PMP,704,0.73 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,36,"KABALU, EID (IND)",IND,702,0.73 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,37,"MONTAÑO, MON (IND)",IND,669,0.69 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,38,"PAGDILAO, SAMUEL (IND)",IND,638,0.66 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,39,"DORONA, RAY (IND)",IND,579,0.60 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,40,"BELLO, WALDEN (IND)",IND,548,0.57 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,41,"ARQUIZA, GODOFREDO (IND)",IND,517,0.54 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,42,"MAGANTO, ROMEO (LAKAS)",LAKAS CMD,507,0.53 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,43,"OPLE, SUSAN (NP)",NP,480,0.50 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,44,"VALEROSO, DIOSDADO (IND)",IND,472,0.49 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,45,"BELGICA, GRECO (IND)",IND,468,0.48 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,46,"LIBAN, DANTE (IND)",IND,457,0.47 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,47,"BALIGOD, LEVITO (IND)",IND,342,0.35 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,48,"LANGIT, REY (UNA)",UNA,341,0.35 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,49,"PALPARAN, JOVITO JR. (IND)",IND,340,0.35 %
REGION XII,SULTAN KUDARAT,PALIMBANG,SENATOR PHILIPPINES,50,"PAEZ, MR. COOP (IND)",IND,233,0.24 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PROVINCIAL GOVERNOR SULTAN KUDARAT,1,"MANGUDADATU, DATU PAX (PTM)",AKMA-PTM,11195,69.63 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PROVINCIAL GOVERNOR SULTAN KUDARAT,2,"PALLASIGUE, DIOSDADO (LP)",LP,4796,29.83 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PROVINCIAL GOVERNOR SULTAN KUDARAT,3,"EUROPA, BAGWIS (KBL)",KBL,86,0.53 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PROVINCIAL VICE-GOVERNOR SULTAN KUDARAT,1,"SAKALURAN, RADEN (PTM)",AKMA-PTM,8451,65.46 %
REGION XII,SULTAN KUDARAT,PALIMBANG,PROVINCIAL VICE-GOVERNOR SULTAN KUDARAT,2,"JACALAN, MIGUEL DOMINGO III (LP)",LP,4460,34.54 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",1,"MOCSIN, RENATO (LP)",LP,8349,21.00 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",2,"KARON, DATUSALEM (PTM)",AKMA-PTM,5329,13.40 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",3,"MASTURA, ESCANDAL (IND)",IND,5319,13.38 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",4,"ORTIZ, JOSEPH (PTM)",AKMA-PTM,3748,9.43 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",5,"GUMANA, NESER NESTHUR RAY (LP)",LP,3715,9.34 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",6,"FORNAN, CESAR (PTM)",AKMA-PTM,3672,9.24 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",7,"LATOG, LINDA (PTM)",AKMA-PTM,3329,8.37 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",8,"DE MANUEL, RENE SR. (PTM)",AKMA-PTM,2903,7.30 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",9,"DEQUINA, SONNY BOY (LP)",LP,2005,5.04 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG PANLALAWIGAN SULTAN KUDARAT - SECOND PROVDIST",10,"ASUG, ESTEBAN (LP)",LP,1385,3.48 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, HOUSE OF REPRESENTATIVES SULTAN KUDARAT - SECOND LEGDIST",1,"SUANSING, TOTO (LP)",LP,5615,41.20 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, HOUSE OF REPRESENTATIVES SULTAN KUDARAT - SECOND LEGDIST",2,"ANG, KAHIRUP (PTM)",AKMA-PTM,4361,32.00 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, HOUSE OF REPRESENTATIVES SULTAN KUDARAT - SECOND LEGDIST",3,"GO, AMELIA (NUP)",NUP,3517,25.80 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, HOUSE OF REPRESENTATIVES SULTAN KUDARAT - SECOND LEGDIST",4,"ALEJAGA, FREIDING (IND)",IND,137,1.01 %
REGION XII,SULTAN KUDARAT,PALIMBANG,MAYOR SULTAN KUDARAT - PALIMBANG,1,"MAULANA, BAKRE (LP)",LP,10035,55.77 %
REGION XII,SULTAN KUDARAT,PALIMBANG,MAYOR SULTAN KUDARAT - PALIMBANG,2,"KAPINA, JOENIME (PTM)",AKMA-PTM,7960,44.23 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-MAYOR SULTAN KUDARAT - PALIMBANG,1,"SABIWANG, HARON (LP)",LP,7422,42.59 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-MAYOR SULTAN KUDARAT - PALIMBANG,2,"WALING, MONIB (IND)",IND,7221,41.44 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-MAYOR SULTAN KUDARAT - PALIMBANG,3,"KANDA, MARIAM (PTM)",AKMA-PTM,2140,12.28 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-MAYOR SULTAN KUDARAT - PALIMBANG,4,"SAMAMA, MABANING (IND)",IND,560,3.21 %
REGION XII,SULTAN KUDARAT,PALIMBANG,VICE-MAYOR SULTAN KUDARAT - PALIMBANG,5,"PENDATUN, ABE (IND)",IND,82,0.47 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",1,"PANGANSAYAN, AMIL (PTM)",AKMA-PTM,7028,5.99 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",2,"SABIWANG, EBRAHIM (LP)",LP,6704,5.72 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",3,"TAUSING, AKMAD (LP)",LP,6437,5.49 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",4,"PANGANSAYAN, KASMIN (PTM)",AKMA-PTM,6029,5.14 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",5,"MOHIDIN, REDFORD (LP)",LP,5800,4.94 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",6,"APIL, NOREN (IND)",IND,5383,4.59 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",7,"MARIANO, SARAH (IND)",IND,4984,4.25 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",8,"ALI, MAMALO (IND)",IND,4970,4.24 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",9,"MAULANA, USMAN (LP)",LP,4912,4.19 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",10,"TALICOP, MHEIT (IND)",IND,4901,4.18 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",11,"DIPATUAN, ABDULKADIR (LP)",LP,4585,3.91 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",12,"NAMIL, DIMALUB (LP)",LP,4369,3.72 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",13,"MINDOG, ABDULGANI (LP)",LP,4032,3.44 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",14,"TIMAN, ONIG (LP)",LP,3599,3.07 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",15,"TIMAN, BALI (PTM)",AKMA-PTM,3597,3.07 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",16,"BAYANG, PALASAB (PTM)",AKMA-PTM,3514,3.00 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",17,"SIANDA, LEO (IND)",IND,3481,2.97 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",18,"USO, EMRAN (IND)",IND,2966,2.53 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",19,"BANCALINGAN, CASMIN (PTM)",AKMA-PTM,2911,2.48 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",20,"OTTO, DATU (PTM)",AKMA-PTM,2858,2.44 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",21,"ABDUL, GANDA (PTM)",AKMA-PTM,2766,2.36 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",22,"DIPATUAN, HARON (IND)",IND,2429,2.07 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",23,"BADRUDDIN, ABDULSATAR (AKBYN)",AKBAYAN,2345,2.00 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",24,"KANDA, ABDUL (IND)",IND,2331,1.99 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",25,"BAGUILAN, KHOMINIE (PTM)",AKMA-PTM,2267,1.93 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",26,"TIMAN, MAMIN (IND)",IND,2175,1.85 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",27,"PAKAL, ALIMUDIN (IND)",IND,1718,1.46 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",28,"AKIATAN, JOSELITO (IND)",IND,1606,1.37 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",29,"KAPINA, MANAP (IND)",IND,1496,1.28 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",30,"DATUSALAMAT, DAN (IND)",IND,1295,1.10 %
REGION XII,SULTAN KUDARAT,PALIMBANG,"MEMBER, SANGGUNIANG BAYAN SULTAN KUDARAT - PALIMBANG   - LONE DIST",31,"BINAGO, ENGKONG (IND)",IND,1219,1.04 %
