region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,15038,46.65 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,14166,43.94 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,2013,6.24 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,866,2.69 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,130,0.40 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,26,0.08 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,14130,45.54 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,7231,23.30 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (IND)",IND,5677,18.30 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,2940,9.47 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,584,1.88 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,468,1.51 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,1,"PACQUIAO, MANNY (UNA)",UNA,15857,7.47 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,13694,6.45 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,3,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,13197,6.22 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,4,"DRILON, FRANK (LP)",LP,11244,5.30 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,5,"TOLENTINO, FRANCIS (IND)",IND,10723,5.05 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,6,"GORDON, DICK (IND)",IND,10162,4.79 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,7,"LACSON, PANFILO PING (IND)",IND,9563,4.51 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,8,"PANGILINAN, KIKO (LP)",LP,9458,4.46 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,9,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,9375,4.42 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,10,"SOTTO, VICENTE (NPC)",NPC,8981,4.23 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,11,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,8823,4.16 %
REGION XIII,AGUSAN DEL SUR,PROSPERIDAD,SENATOR PHILIPPINES,12,"GATCHALIAN, WIN (NPC)",NPC,8802,4.15 %
