region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,1,153 AMIN,153 AMIN,1433,29.43 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,2,9 KUSUG TAUSUG,9 KUSUG TAUSUG,1129,23.19 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,3,101 ACT-CIS,101 ACT-CIS,370,7.60 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,4,75 LPGMA,75 LPGMA,291,5.98 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,5,54 ANG PROBINSYANO,54 ANG PROBINSYANO,240,4.93 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,6,91 PROBINSYANO AKO,91 PROBINSYANO AKO,132,2.71 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,7,108 ABAKADA,108 ABAKADA,110,2.26 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,8,155 ITO ANG TAMA,155 ITO ANG TAMA,90,1.85 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,8,150 BHW,150 BHW,90,1.85 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,10,1 BAYAN MUNA,1 BAYAN MUNA,76,1.56 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,11,2 KABAYAN,2 KABAYAN,75,1.54 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,12,130 SENIOR CITIZENS,130 SENIOR CITIZENS,34,0.70 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,12,141 AKO BICOL,141 AKO BICOL,34,0.70 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,14,157 DUTERTE YOUTH,157 DUTERTE YOUTH,33,0.68 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,15,51 AKMA-PTM,51 AKMA-PTM,31,0.64 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,16,3 MAGSASAKA,3 MAGSASAKA,30,0.62 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,17,47 ANAKALUSUGAN,47 ANAKALUSUGAN,28,0.58 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,18,4 PEACE,4 PEACE,23,0.47 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,18,122 1PACMAN,122 1PACMAN,23,0.47 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,18,7 OFW FAMILY,7 OFW FAMILY,23,0.47 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,21,46 ALL-FISH,46 ALL-FISH,21,0.43 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,21,151 RECOBODA,151 RECOBODA,21,0.43 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,23,87 BUHAY,87 BUHAY,19,0.39 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,24,29 BAHAY,29 BAHAY,18,0.37 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,24,63 KOOP-KAMPI,63 KOOP-KAMPI,18,0.37 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,26,112 AAMBIS-OWA,112 AAMBIS-OWA,16,0.33 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,26,53 BH,53 BH BAGONG HENERASYON,16,0.33 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,28,116 ACTS-OFW,116 ACTS-OFW,15,0.31 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,29,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,14,0.29 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,29,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,14,0.29 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,29,80 MARINO,80 MARINO,14,0.29 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,29,83 ACT TEACHERS,83 ACT TEACHERS,14,0.29 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,33,143 MAYPAGASA,143 MAYPAGASA,13,0.27 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,33,49 ABEKA,49 ABEKA,13,0.27 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,35,73 ALIF,73 ALIF,12,0.25 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,35,131 A TEACHER,131 A TEACHER,12,0.25 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,35,33 CIBAC,33 CIBAC,12,0.25 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,38,138 MAGDALO,138 MAGDALO,11,0.23 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,38,8 1-UTAK,8 1-UTAK,11,0.23 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,40,14 ANAKPAWIS,14 ANAKPAWIS,9,0.18 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,40,94 METRO,94 METRO,9,0.18 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,42,12 ANG NARS,12 ANG NARS,8,0.16 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,42,16 CWS,16 CWS,8,0.16 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,42,176 LAANG KAWAL,176 LAANG KAWAL,8,0.16 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,58 ANAC-IP,58 ANAC-IP,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,52 ABS,52 ABS,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,110 MARVELOUS TAYO,110 MARVELOUS TAYO,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,44 SULONG DIGNIDAD,44 SULONG DIGNIDAD,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,37 GABRIELA,37 GABRIELA,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,45,30 PRAI,30 PRAI,7,0.14 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,59 SINAG,59 SINAG,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,144 ATING KOOP,144 ATING KOOP,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,72 KAMAIS,72 KAMAIS,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,114 AGRI,114 AGRI,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,95 AASENSO,95 AASENSO,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,52,96 ALONA,96 ALONA,6,0.12 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,60 PATROL,60 PATROL,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,55 PM,55 PM,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,79 ABANTE PILIPINAS,79 ABANTE PILIPINAS,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,42 KABATAAN,42 KABATAAN,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,92 AKO BISAYA,92 AKO BISAYA,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,35 MURANG KURYENTE,35 MURANG KURYENTE,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,26 PBA,26 PBA,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,5,0.10 %
BARMM,BASILAN,UNGKAYA PUKAN,PARTY LIST PHILIPPINES,58,10 GLOBAL,10 GLOBAL,5,0.10 %
