region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,1,"GUTOC, SAMIRA",LP,8057,25.12 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,2,"MANGUDADATU, DONG",PDPLBN,2326,7.25 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,1973,6.15 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,4,"POE, GRACE",IND,1902,5.93 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,5,"VILLAR, CYNTHIA",NP,1724,5.37 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,6,"DELA ROSA, BATO",PDPLBN,1372,4.28 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,1243,3.87 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,8,"AQUINO, BENIGNO BAM",LP,1222,3.81 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,9,"ANGARA, EDGARDO SONNY",LDP,1152,3.59 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,10,"MANGONDATO, FAISAL",IND,1148,3.58 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,11,"BONG REVILLA, RAMON JR",LAKAS,1042,3.25 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,12,"PIMENTEL, KOKO",PDPLBN,881,2.75 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS",PDPLBN,796,2.48 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,14,"CAYETANO, PIA",NP,727,2.27 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,15,"MARCOS, IMEE",NP,719,2.24 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,16,"BINAY, NANCY",UNA,676,2.11 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,17,"LAPID, LITO",NPC,666,2.08 %
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,SENATOR PHILIPPINES,18,"ROXAS, MAR",LP,464,1.45 %
