region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,1,"GUTOC, SAMIRA",LP,6124,33.32 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,2,"GO, BONG GO",PDPLBN,1705,9.28 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,3,"DELA ROSA, BATO",PDPLBN,894,4.86 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,4,"VILLAR, CYNTHIA",NP,849,4.62 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,5,"MANGUDADATU, DONG",PDPLBN,815,4.43 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,6,"AQUINO, BENIGNO BAM",LP,616,3.35 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,7,"POE, GRACE",IND,610,3.32 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,554,3.01 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,9,"MANGONDATO, FAISAL",IND,503,2.74 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,10,"TOLENTINO, FRANCIS",PDPLBN,449,2.44 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,11,"BONG REVILLA, RAMON JR",LAKAS,386,2.10 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,12,"LAPID, LITO",NPC,358,1.95 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,13,"MARCOS, IMEE",NP,328,1.78 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,14,"ANGARA, EDGARDO SONNY",LDP,275,1.50 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,15,"BINAY, NANCY",UNA,273,1.49 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,16,"CAYETANO, PIA",NP,270,1.47 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,257,1.40 %
BARMM,LANAO DEL SUR,BUTIG,SENATOR PHILIPPINES,18,"DIOKNO, CHEL",LP,236,1.28 %
