region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,1,"GUTOC, SAMIRA",LP,5003,16.23 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,2,"POE, GRACE",IND,3258,10.57 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,2938,9.53 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,4,"DELA ROSA, BATO",PDPLBN,2698,8.75 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,5,"MANGUDADATU, DONG",PDPLBN,1676,5.44 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,6,"MARCOS, IMEE",NP,1302,4.22 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,7,"ANGARA, EDGARDO SONNY",LDP,1248,4.05 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,8,"VILLAR, CYNTHIA",NP,1116,3.62 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,9,"MANGONDATO, FAISAL",IND,1063,3.45 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,10,"LAPID, LITO",NPC,936,3.04 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,11,"PIMENTEL, KOKO",PDPLBN,860,2.79 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,12,"CAYETANO, PIA",NP,816,2.65 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,13,"BONG REVILLA, RAMON JR",LAKAS,766,2.48 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,14,"BINAY, NANCY",UNA,718,2.33 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,611,1.98 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS",PDPLBN,603,1.96 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,17,"EJERCITO, ESTRADA JV",NPC,521,1.69 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,18,"AGUILAR, FREDDIE",IND,364,1.18 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,19,"ALBANI, SHARIFF",WPP,326,1.06 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,20,"ONG, DOC WILLIE",LAKAS,308,1.00 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,21,"MACALINTAL, MACAROMY",IND,278,0.90 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,22,"ESTRADA, JINGGOY",PMP,275,0.89 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,23,"OSMEÑA, SERGE",IND,265,0.86 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,24,"DIOKNO, CHEL",LP,229,0.74 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,25,"ROXAS, MAR",LP,200,0.65 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,26,"PADILLA, DADO",PFP,160,0.52 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,27,"ENRILE, JUAN PONCE",PMP,148,0.48 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,28,"SAHIDULLA, LADY ANN",KDP,140,0.45 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,29,"ALEJANO, GARY",LP,129,0.42 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,30,"MANICAD, JIGGY",IND,126,0.41 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,31,"ALUNAN, RAFFY",BGMBYN,121,0.39 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,32,"HILBAY, PILO",AKSYON,108,0.35 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,33,"ESCUDERO, AGNES",IND,99,0.32 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,34,"COLMENARES, NERI",MKBYN,94,0.30 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,35,"GADON, LARRY",KBL,88,0.29 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,36,"JANGAO, BFG ABRAHAM",IND,85,0.28 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,37,"TAÑADA,LORENZO ERIN TAPAT",LP,83,0.27 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,38,"CHONG, GLENN",KDP,72,0.23 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,39,"ARELLANO, ERNESTO",IND,65,0.21 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,40,"MONTAÑO, ALLAN",IND,57,0.18 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,41,"DE GUZMAN, KA LEODY",PLM,55,0.18 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,41,"ARCEGA, GERALD",WPP,55,0.18 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,43,"ALFAJORA, RICHARD",IND,51,0.17 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,44,"ABEJO, VANGIE",IND,49,0.16 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,44,"JAVELLANA, RJ",KDP,49,0.16 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,46,"FRANCISCO, ELMER",PFP,48,0.16 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,47,"MALLILLIN, EMILY",IND,46,0.15 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,48,"GUIGAYUMA, JUNBERT",WPP,45,0.15 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,49,"MATULA, JOSE SONNY",WPP,43,0.14 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,49,"AFUANG, ABNER",WPP,43,0.14 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,49,"CASIÑO, TOTI",KDP,43,0.14 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,52,"AUSTRIA, BERNARD",PDSP,42,0.14 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,53,"CHAVEZ, MELCHOR",WPP,40,0.13 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,54,"ROLEDA, DAN KAIBIGAN",UNA,38,0.12 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,54,"ARIAS, MARCELINO",WPP,38,0.12 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,56,"GADDI, CHARLIE",IND,35,0.11 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,57,"BALDEVARONA, BALDE",FFP,32,0.10 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,58,"MENIANO, LUTHER",WPP,29,0.09 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,58,"GENEROSO,GEN PEDERALISMO",IND,29,0.09 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,60,"CACERES, JESUS",IND,27,0.09 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,61,"VALDES, BUTCH",KDP,23,0.07 %
BARMM,LANAO DEL SUR,GANASSI,SENATOR PHILIPPINES,62,"NALLIW, JOAN SHEELAH",IND,21,0.07 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,1,73 ALIF,73 ALIF,1314,26.54 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,2,151 RECOBODA,151 RECOBODA,1049,21.19 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,3,48 TGP,48 TGP,522,10.54 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,4,153 AMIN,153 AMIN,453,9.15 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,5,29 BAHAY,29 BAHAY,374,7.55 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,6,140 1-CARE,140 1-CARE,262,5.29 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,7,51 AKMA-PTM,51 AKMA-PTM,111,2.24 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,8,9 KUSUG TAUSUG,9 KUSUG TAUSUG,96,1.94 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,9,96 ALONA,96 ALONA,69,1.39 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,10,88 AKBAYAN,88 AKBAYAN,46,0.93 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,11,101 ACT-CIS,101 ACT-CIS,45,0.91 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,12,131 A TEACHER,131 A TEACHER,44,0.89 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,13,112 AAMBIS-OWA,112 AAMBIS-OWA,32,0.65 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,14,1 BAYAN MUNA,1 BAYAN MUNA,31,0.63 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,15,91 PROBINSYANO AKO,91 PROBINSYANO AKO,26,0.53 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,16,60 PATROL,60 PATROL,25,0.50 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,17,26 PBA,26 PBA,22,0.44 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,17,80 MARINO,80 MARINO,22,0.44 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,19,95 AASENSO,95 AASENSO,21,0.42 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,19,157 DUTERTE YOUTH,157 DUTERTE YOUTH,21,0.42 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,21,83 ACT TEACHERS,83 ACT TEACHERS,19,0.38 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,21,54 ANG PROBINSYANO,54 ANG PROBINSYANO,19,0.38 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,23,3 MAGSASAKA,3 MAGSASAKA,17,0.34 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,23,116 ACTS-OFW,116 ACTS-OFW,17,0.34 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,25,142 COOP-NATCCO,142 COOP-NATCCO,16,0.32 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,25,7 OFW FAMILY,7 OFW FAMILY,16,0.32 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,27,74 MATA,74 MATA,13,0.26 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,27,2 KABAYAN,2 KABAYAN,13,0.26 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,29,46 ALL-FISH,46 ALL-FISH,12,0.24 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,30,130 SENIOR CITIZENS,130 SENIOR CITIZENS,11,0.22 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,31,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,10,0.20 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,31,12 ANG NARS,12 ANG NARS,10,0.20 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,33,138 MAGDALO,138 MAGDALO,9,0.18 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,33,87 BUHAY,87 BUHAY,9,0.18 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,35,104 CONSLA,104 CONSLA,8,0.16 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,36,134 1-AHAPO,134 1-AHAPO,7,0.14 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,36,49 ABEKA,49 ABEKA,7,0.14 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,36,4 PEACE,4 PEACE,7,0.14 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,36,22 AKO BISDAK,22 AKO BISDAK,7,0.14 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,40,136 ANG KABUHAYAN,136 ANG KABUHAYAN,6,0.12 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,40,141 AKO BICOL,141 AKO BICOL,6,0.12 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,40,150 BHW,150 BHW,6,0.12 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,43,122 1PACMAN,122 1PACMAN,5,0.10 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,43,47 ANAKALUSUGAN,47 ANAKALUSUGAN,5,0.10 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,43,152 AKO PADAYON,152 AKO PADAYON,5,0.10 %
BARMM,LANAO DEL SUR,GANASSI,PARTY LIST PHILIPPINES,43,33 CIBAC,33 CIBAC,5,0.10 %
