region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,1,"GO, BONG GO",PDPLBN,21495,11.03 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,2,"SAHIDULLA, LADY ANN",KDP,19995,10.26 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,3,"MARCOS, IMEE",NP,17543,9.00 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,4,"BONG REVILLA, RAMON JR",LAKAS,16177,8.30 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,5,"VILLAR, CYNTHIA",NP,15373,7.89 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,6,"TOLENTINO, FRANCIS",PDPLBN,14896,7.64 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,7,"DELA ROSA, BATO",PDPLBN,14882,7.64 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,8,"BINAY, NANCY",UNA,14732,7.56 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,9,"ANGARA, EDGARDO SONNY",LDP,14128,7.25 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,10,"ESTRADA, JINGGOY",PMP,13583,6.97 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,11,"EJERCITO, ESTRADA JV",NPC,13535,6.94 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,12,"MANGUDADATU, DONG",PDPLBN,13333,6.84 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,13,"LAPID, LITO",NPC,964,0.49 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,14,"POE, GRACE",IND,848,0.44 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,15,"PIMENTEL, KOKO",PDPLBN,357,0.18 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,16,"CAYETANO, PIA",NP,307,0.16 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,17,"AQUINO, BENIGNO BAM",LP,296,0.15 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,18,"MANGONDATO, FAISAL",IND,187,0.10 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,177,0.09 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,20,"VALDES, BUTCH",KDP,172,0.09 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,21,"MANICAD, JIGGY",IND,171,0.09 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,22,"OSMEÑA, SERGE",IND,154,0.08 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,23,"ROXAS, MAR",LP,108,0.06 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,24,"ONG, DOC WILLIE",LAKAS,98,0.05 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,25,"GUTOC, SAMIRA",LP,95,0.05 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,26,"ESCUDERO, AGNES",IND,94,0.05 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,27,"PADILLA, DADO",PFP,87,0.04 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,28,"TAÑADA,LORENZO ERIN TAPAT",LP,84,0.04 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,29,"MALLILLIN, EMILY",IND,72,0.04 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,30,"AGUILAR, FREDDIE",IND,67,0.03 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,31,"BALDEVARONA, BALDE",FFP,63,0.03 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,32,"ABEJO, VANGIE",IND,59,0.03 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,33,"ROLEDA, DAN KAIBIGAN",UNA,48,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,34,"DE GUZMAN, KA LEODY",PLM,42,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,35,"ALBANI, SHARIFF",WPP,38,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,36,"MONTAÑO, ALLAN",IND,36,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,37,"CHONG, GLENN",KDP,35,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,38,"GENEROSO,GEN PEDERALISMO",IND,33,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,38,"JANGAO, BFG ABRAHAM",IND,33,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,40,"FRANCISCO, ELMER",PFP,32,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,40,"DIOKNO, CHEL",LP,32,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,40,"COLMENARES, NERI",MKBYN,32,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,43,"GADON, LARRY",KBL,30,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,43,"ALEJANO, GARY",LP,30,0.02 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,45,"MATULA, JOSE SONNY",WPP,28,0.01 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,45,"CHAVEZ, MELCHOR",WPP,28,0.01 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,47,"MENIANO, LUTHER",WPP,27,0.01 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,48,"GUIGAYUMA, JUNBERT",WPP,26,0.01 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,48,"MACALINTAL, MACAROMY",IND,26,0.01 %
BARMM,SULU,TALIPAO,SENATOR PHILIPPINES,50,"GADDI, CHARLIE",IND,24,0.01 %
