region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,1,"BONG REVILLA, RAMON JR",LAKAS,1785,6.86 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,2,"LAPID, LITO",NPC,1711,6.58 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,1390,5.34 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,4,"VILLAR, CYNTHIA",NP,1274,4.90 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,5,"POE, GRACE",IND,1146,4.40 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,6,"DELA ROSA, BATO",PDPLBN,1104,4.24 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,7,"CAYETANO, PIA",NP,1047,4.02 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,1022,3.93 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,9,"BINAY, NANCY",UNA,1006,3.87 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,10,"MARCOS, IMEE",NP,998,3.84 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,11,"ANGARA, EDGARDO SONNY",LDP,930,3.57 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,839,3.22 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,13,"MANGUDADATU, DONG",PDPLBN,826,3.17 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,14,"EJERCITO, ESTRADA JV",NPC,811,3.12 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,795,3.06 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS",PDPLBN,760,2.92 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,17,"AGUILAR, FREDDIE",IND,525,2.02 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,18,"MANGONDATO, FAISAL",IND,457,1.76 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,19,"ENRILE, JUAN PONCE",PMP,418,1.61 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,20,"ROXAS, MAR",LP,414,1.59 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,21,"GUTOC, SAMIRA",LP,397,1.53 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,22,"PADILLA, DADO",PFP,394,1.51 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,23,"OSMEÑA, SERGE",IND,360,1.38 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,24,"ALBANI, SHARIFF",WPP,335,1.29 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,25,"ONG, DOC WILLIE",LAKAS,259,1.00 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,26,"SAHIDULLA, LADY ANN",KDP,254,0.98 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,27,"DIOKNO, CHEL",LP,248,0.95 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,28,"CHONG, GLENN",KDP,225,0.86 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,29,"ALEJANO, GARY",LP,207,0.80 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,30,"ABEJO, VANGIE",IND,204,0.78 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,31,"ALUNAN, RAFFY",BGMBYN,194,0.75 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,32,"MACALINTAL, MACAROMY",IND,175,0.67 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,33,"HILBAY, PILO",AKSYON,173,0.66 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,34,"COLMENARES, NERI",MKBYN,168,0.65 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,34,"ESCUDERO, AGNES",IND,168,0.65 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,36,"MANICAD, JIGGY",IND,164,0.63 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,37,"JANGAO, BFG ABRAHAM",IND,161,0.62 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,38,"ARELLANO, ERNESTO",IND,154,0.59 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,39,"FRANCISCO, ELMER",PFP,148,0.57 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,40,"ALFAJORA, RICHARD",IND,144,0.55 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,41,"AFUANG, ABNER",WPP,137,0.53 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,42,"GADON, LARRY",KBL,135,0.52 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,43,"ARCEGA, GERALD",WPP,132,0.51 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,44,"DE GUZMAN, KA LEODY",PLM,128,0.49 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,45,"CHAVEZ, MELCHOR",WPP,125,0.48 %
BARMM,TAWI-TAWI,TANDUBAS,SENATOR PHILIPPINES,46,"TAÑADA,LORENZO ERIN TAPAT",LP,123,0.47 %
