region,province,city,position,rank,candidate_name,party,votes,percentage
CAR,ABRA,MALIBCONG,PROVINCIAL VICE-GOVERNOR ABRA,1,"BALAO-AS, RONALD",ASENSO,1701,77.99 %
CAR,ABRA,MALIBCONG,PROVINCIAL VICE-GOVERNOR ABRA,2,"BERSAMIN, ANNE",NP,480,22.01 %
CAR,ABRA,MALIBCONG,VICE-MAYOR ABRA - MALIBCONG,1,"SIDDAYAO, LONGBOY",NUP,1261,55.04 %
CAR,ABRA,MALIBCONG,VICE-MAYOR ABRA - MALIBCONG,2,"LATAWAN, NESTOR",IND,548,23.92 %
CAR,ABRA,MALIBCONG,VICE-MAYOR ABRA - MALIBCONG,3,"BAAWA, MARIO",PDPLBN,482,21.04 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,1,53 BH,53 BH BAGONG HENERASYON,405,28.83 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,2,1 BAYAN MUNA,1 BAYAN MUNA,276,19.64 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,3,101 ACT-CIS,101 ACT-CIS,225,16.01 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,4,18 RAM,18 RAM,39,2.78 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,5,150 BHW,150 BHW,32,2.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,6,131 A TEACHER,131 A TEACHER,31,2.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,6,130 SENIOR CITIZENS,130 SENIOR CITIZENS,31,2.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,8,91 PROBINSYANO AKO,91 PROBINSYANO AKO,26,1.85 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,9,95 AASENSO,95 AASENSO,23,1.64 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,10,83 ACT TEACHERS,83 ACT TEACHERS,20,1.42 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,11,3 MAGSASAKA,3 MAGSASAKA,18,1.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,12,35 MURANG KURYENTE,35 MURANG KURYENTE,16,1.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,12,157 DUTERTE YOUTH,157 DUTERTE YOUTH,16,1.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,14,79 ABANTE PILIPINAS,79 ABANTE PILIPINAS,15,1.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,15,54 ANG PROBINSYANO,54 ANG PROBINSYANO,14,1.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,16,122 1PACMAN,122 1PACMAN,10,0.71 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,16,14 ANAKPAWIS,14 ANAKPAWIS,10,0.71 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,18,51 AKMA-PTM,51 AKMA-PTM,9,0.64 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,19,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,8,0.57 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,19,58 ANAC-IP,58 ANAC-IP,8,0.57 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,21,12 ANG NARS,12 ANG NARS,7,0.50 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,21,116 ACTS-OFW,116 ACTS-OFW,7,0.50 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,21,7 OFW FAMILY,7 OFW FAMILY,7,0.50 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,2 KABAYAN,2 KABAYAN,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,33 CIBAC,33 CIBAC,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,103 APPEND,103 APPEND,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,140 1-CARE,140 1-CARE,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,4 PEACE,4 PEACE,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,24,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,6,0.43 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,30,88 AKBAYAN,88 AKBAYAN,5,0.36 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,30,100 MANILA TEACHERS',100 MANILA TEACHERS',5,0.36 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,30,37 GABRIELA,37 GABRIELA,5,0.36 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,30,142 COOP-NATCCO,142 COOP-NATCCO,5,0.36 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,34,26 PBA,26 PBA,4,0.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,34,80 MARINO,80 MARINO,4,0.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,34,172 PHILRECA,172 PHILRECA,4,0.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,34,169 WOW PILIPINAS,169 WOW PILIPINAS,4,0.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,34,109 KALINGA,109 KALINGA,4,0.28 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,10 GLOBAL,10 GLOBAL,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,22 AKO BISDAK,22 AKO BISDAK,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,32 BUKLOD FILIPINO,32 BUKLOD FILIPINO,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,42 KABATAAN,42 KABATAAN,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,47 ANAKALUSUGAN,47 ANAKALUSUGAN,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,60 PATROL,60 PATROL,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,141 AKO BICOL,141 AKO BICOL,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,138 MAGDALO,138 MAGDALO,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,39,114 AGRI,114 AGRI,3,0.21 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,63 KOOP-KAMPI,63 KOOP-KAMPI,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,16 CWS,16 CWS,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,52 ABS,52 ABS,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,173 1P,173 1P,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,92 AKO BISAYA,92 AKO BISAYA,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,115 AGAP,115 AGAP,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,20 DUMPER PTDA,20 DUMPER PTDA,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,87 BUHAY,87 BUHAY,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,89 PARTIDO SANDUGO,89 PARTIDO SANDUGO,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,24 APEC,24 APEC,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,49,27 AMEPA OFW,27 AMEPA OFW,2,0.14 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,97 TRICAP,97 TRICAP,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,98 BANAT,98 BANAT,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,69 INANG MAHAL,69 INANG MAHAL,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,49 ABEKA,49 ABEKA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,74 MATA,74 MATA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,46 ALL-FISH,46 ALL-FISH,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,75 LPGMA,75 LPGMA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,76 ABONO,76 ABONO,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,36 ANGKLA,36 ANGKLA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,78 AKO,78 AKO,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,82 TAO MUNA,82 TAO MUNA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,86 ALAY BUHAY,86 ALAY BUHAY,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,9 KUSUG TAUSUG,9 KUSUG TAUSUG,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,23 ASEAN,23 ASEAN,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,21 LUNTIAN,21 LUNTIAN,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,180 GRECON,180 GRECON,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,110 MARVELOUS TAYO,110 MARVELOUS TAYO,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,112 AAMBIS-OWA,112 AAMBIS-OWA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,117 FICTAP,117 FICTAP,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,121 SAMAKO,121 SAMAKO,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,17 PTA,17 PTA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,139 ANUPA,139 ANUPA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,60,151 RECOBODA,151 RECOBODA,1,0.07 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,104 CONSLA,104 CONSLA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,105 KMM,105 KMM,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,108 ABAKADA,108 ABAKADA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,96 ALONA,96 ALONA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,94 METRO,94 METRO,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,93 AVE,93 AVE,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,113 TINDERONG PINOY,113 TINDERONG PINOY,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,124 ABAMIN,124 ABAMIN,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,126 PLM,126 PLM,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,127 AWAKE,127 AWAKE,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,84 PEOPLE'S CHAMP,84 PEOPLE'S CHAMP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,132 GP,132 GP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,133 1-APTO,133 1-APTO,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,134 1-AHAPO,134 1-AHAPO,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,8 1-UTAK,8 1-UTAK,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,136 ANG KABUHAYAN,136 ANG KABUHAYAN,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,137 YACAP,137 YACAP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,143 MAYPAGASA,143 MAYPAGASA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,144 ATING KOOP,144 ATING KOOP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,73 ALIF,73 ALIF,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,72 KAMAIS,72 KAMAIS,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,147 ALENG ENTREP,147 ALENG ENTREP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,148 AANGAT TAYO,148 AANGAT TAYO,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,149 KABALIKAT,149 KABALIKAT,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,68 PPP,68 PPP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,67 SBP,67 SBP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,65 UNIDO,65 UNIDO,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,152 AKO PADAYON,152 AKO PADAYON,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,153 AMIN,153 AMIN,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,59 SINAG,59 SINAG,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,155 ITO ANG TAMA,155 ITO ANG TAMA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,55 PM,55 PM,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,156 1 UTAP BICOL,156 1 UTAP BICOL,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,158 BUTIL,158 BUTIL,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,163 ABANG LINGKOD,163 ABANG LINGKOD,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,164 AGBIAG!,164 AGBIAG!,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,166 TUCP,166 TUCP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,48 TGP,48 TGP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,168 FFP,168 FFP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,44 SULONG DIGNIDAD,44 SULONG DIGNIDAD,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,43 AN WARAY,43 AN WARAY,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,170 SAGIP,170 SAGIP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,171 DIWA,171 DIWA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,39 1-LAMBAT,39 1-LAMBAT,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,38 AKO AN BISAYA,38 AKO AN BISAYA,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,175 PBB,175 PBB,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,176 LAANG KAWAL,176 LAANG KAWAL,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,177 1AAAP,177 1AAAP,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,31 JUAN MOVEMENT,31 JUAN MOVEMENT,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,30 PRAI,30 PRAI,0,0.00 %
CAR,ABRA,MALIBCONG,PARTY LIST PHILIPPINES,84,29 BAHAY,29 BAHAY,0,0.00 %
CAR,ABRA,MALIBCONG,PROVINCIAL GOVERNOR ABRA,1,"BERNOS, JOY",ASENSO,1895,81.44 %
CAR,ABRA,MALIBCONG,PROVINCIAL GOVERNOR ABRA,2,"SEARES, JR",PDPLBN,432,18.56 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,1,"MARCOS, IMEE",NP,1365,8.56 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,943,5.92 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,907,5.69 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,4,"BINAY, NANCY",UNA,905,5.68 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,5,"DELA ROSA, BATO",PDPLBN,898,5.63 %
CAR,ABRA,MALIBCONG,SENATOR PHILIPPINES,6,"POE, GRACE",IND,826,5.18 %
