region,province,city,position,rank,candidate_name,party,votes,percentage
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,1,137 YACAP,137 YACAP,3201,16.16 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,2422,12.23 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,3,163 ABANG LINGKOD,163 ABANG LINGKOD,1134,5.72 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,4,1 BAYAN MUNA,1 BAYAN MUNA,873,4.41 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,5,33 CIBAC,33 CIBAC,794,4.01 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,6,87 BUHAY,87 BUHAY,744,3.76 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,7,9 KUSUG TAUSUG,9 KUSUG TAUSUG,697,3.52 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,8,60 PATROL,60 PATROL,682,3.44 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,9,122 1PACMAN,122 1PACMAN,676,3.41 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,10,37 GABRIELA,37 GABRIELA,654,3.30 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,11,109 KALINGA,109 KALINGA,467,2.36 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,12,141 AKO BICOL,141 AKO BICOL,466,2.35 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,13,130 SENIOR CITIZENS,130 SENIOR CITIZENS,459,2.32 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,14,53 BH,53 BH BAGONG HENERASYON,439,2.22 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,15,54 ANG PROBINSYANO,54 ANG PROBINSYANO,389,1.96 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,16,94 METRO,94 METRO,330,1.67 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,17,116 ACTS-OFW,116 ACTS-OFW,290,1.46 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,18,42 KABATAAN,42 KABATAAN,271,1.37 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,19,48 TGP,48 TGP,264,1.33 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,20,91 PROBINSYANO AKO,91 PROBINSYANO AKO,250,1.26 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,20,138 MAGDALO,138 MAGDALO,250,1.26 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,22,157 DUTERTE YOUTH,157 DUTERTE YOUTH,235,1.19 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,23,3 MAGSASAKA,3 MAGSASAKA,215,1.09 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,24,83 ACT TEACHERS,83 ACT TEACHERS,199,1.00 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,25,100 MANILA TEACHERS',100 MANILA TEACHERS',198,1.00 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,26,29 BAHAY,29 BAHAY,144,0.73 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,27,88 AKBAYAN,88 AKBAYAN,132,0.67 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,28,131 A TEACHER,131 A TEACHER,121,0.61 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,29,21 LUNTIAN,21 LUNTIAN,108,0.55 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,30,80 MARINO,80 MARINO,104,0.52 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,31,181 AA-KASOSYO PARTY,181 AA-KASOSYO PARTY,102,0.51 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,32,35 MURANG KURYENTE,35 MURANG KURYENTE,100,0.50 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,33,7 OFW FAMILY,7 OFW FAMILY,94,0.47 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,33,47 ANAKALUSUGAN,47 ANAKALUSUGAN,94,0.47 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,35,150 BHW,150 BHW,91,0.46 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,36,2 KABAYAN,2 KABAYAN,82,0.41 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,37,12 ANG NARS,12 ANG NARS,78,0.39 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,38,14 ANAKPAWIS,14 ANAKPAWIS,77,0.39 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,39,144 ATING KOOP,144 ATING KOOP,70,0.35 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,40,63 KOOP-KAMPI,63 KOOP-KAMPI,69,0.35 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,40,43 AN WARAY,43 AN WARAY,69,0.35 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,42,169 WOW PILIPINAS,169 WOW PILIPINAS,67,0.34 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,43,92 AKO BISAYA,92 AKO BISAYA,65,0.33 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,44,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,60,0.30 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,45,4 PEACE,4 PEACE,57,0.29 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,45,99 TINGOG SINIRANGAN,99 TINGOG SINIRANGAN,57,0.29 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,47,114 AGRI,114 AGRI,53,0.27 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,48,36 ANGKLA,36 ANGKLA,46,0.23 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,49,16 CWS,16 CWS,43,0.22 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,49,171 DIWA,171 DIWA,43,0.22 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,51,31 JUAN MOVEMENT,31 JUAN MOVEMENT,42,0.21 %
NATIONAL CAPITAL REGION,METRO MANILA,PATEROS,PARTY LIST PHILIPPINES,52,26 PBA,26 PBA,40,0.20 %
