region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,1,91 PROBINSYANO AKO,91 PROBINSYANO AKO,221,36.89 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,2,172 PHILRECA,172 PHILRECA,82,13.69 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,3,101 ACT-CIS,101 ACT-CIS,60,10.02 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,4,54 ANG PROBINSYANO,54 ANG PROBINSYANO,26,4.34 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,5,14 ANAKPAWIS,14 ANAKPAWIS,17,2.84 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,5,109 KALINGA,109 KALINGA,17,2.84 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,7,100 MANILA TEACHERS',100 MANILA TEACHERS',13,2.17 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,8,33 CIBAC,33 CIBAC,10,1.67 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,9,108 ABAKADA,108 ABAKADA,9,1.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,9,130 SENIOR CITIZENS,130 SENIOR CITIZENS,9,1.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,11,1 BAYAN MUNA,1 BAYAN MUNA,8,1.34 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,11,3 MAGSASAKA,3 MAGSASAKA,8,1.34 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,13,114 AGRI,114 AGRI,7,1.17 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,13,116 ACTS-OFW,116 ACTS-OFW,7,1.17 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,15,157 DUTERTE YOUTH,157 DUTERTE YOUTH,6,1.00 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,15,83 ACT TEACHERS,83 ACT TEACHERS,6,1.00 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,15,35 MURANG KURYENTE,35 MURANG KURYENTE,6,1.00 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,18,141 AKO BICOL,141 AKO BICOL,5,0.83 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,19,6 KONTRA BROWNOUT PARTYLIST,6 KONTRA BROWNOUT PARTYLIST,4,0.67 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,19,150 BHW,150 BHW,4,0.67 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,19,76 ABONO,76 ABONO,4,0.67 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,12 ANG NARS,12 ANG NARS,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,95 AASENSO,95 AASENSO,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,30 PRAI,30 PRAI,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,2 KABAYAN,2 KABAYAN,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,148 AANGAT TAYO,148 AANGAT TAYO,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,22,17 PTA,17 PTA,3,0.50 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,122 1PACMAN,122 1PACMAN,2,0.33 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,36 ANGKLA,36 ANGKLA,2,0.33 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,127 AWAKE,127 AWAKE,2,0.33 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,58 ANAC-IP,58 ANAC-IP,2,0.33 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,87 BUHAY,87 BUHAY,2,0.33 %
REGION I,ILOCOS NORTE,ADAMS,PARTY LIST PHILIPPINES,28,104 CONSLA,104 CONSLA,2,0.33 %
