region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,1,"MARCOS, IMEE",NP,4173,15.07 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,3033,10.95 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,3,"GO, BONG GO",PDPLBN,2400,8.67 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,4,"DELA ROSA, BATO",PDPLBN,2394,8.65 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,5,"ANGARA, EDGARDO SONNY",LDP,2237,8.08 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,6,"TOLENTINO, FRANCIS",PDPLBN,1972,7.12 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,7,"EJERCITO, ESTRADA JV",NPC,1832,6.62 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,8,"PIMENTEL, KOKO",PDPLBN,1706,6.16 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,9,"POE, GRACE",IND,1197,4.32 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,10,"BONG REVILLA, RAMON JR",LAKAS,1057,3.82 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,11,"LAPID, LITO",NPC,946,3.42 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,920,3.32 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,13,"CAYETANO, PIA",NP,867,3.13 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,14,"BINAY, NANCY",UNA,860,3.11 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,15,"ENRILE, JUAN PONCE",PMP,240,0.87 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,16,"MANGUDADATU, DONG",PDPLBN,174,0.63 %
REGION I,ILOCOS NORTE,NUEVA ERA,SENATOR PHILIPPINES,17,"AQUINO, BENIGNO BAM",LP,156,0.56 %
