region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,LA UNION,ROSARIO,PROVINCIAL VICE-GOVERNOR LA UNION,1,"ORTEGA, MARIO EDUARDO",NUP,19856,92.07 %
REGION I,LA UNION,ROSARIO,PROVINCIAL VICE-GOVERNOR LA UNION,2,"AQUINO, JULIUS",KDP,1711,7.93 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,1,"MARCOS, IMEE",NP,20529,8.81 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,18242,7.83 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,3,"POE, GRACE",IND,16445,7.06 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,4,"GO, BONG GO",PDPLBN,14290,6.13 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,5,"CAYETANO, PIA",NP,13153,5.65 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,6,"BINAY, NANCY",UNA,12544,5.38 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,7,"LAPID, LITO",NPC,12382,5.31 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,8,"ANGARA, EDGARDO SONNY",LDP,11973,5.14 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,9,"BONG REVILLA, RAMON JR",LAKAS,11304,4.85 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,10,"DELA ROSA, BATO",PDPLBN,10789,4.63 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,11,"EJERCITO, ESTRADA JV",NPC,10494,4.50 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY",PMP,9732,4.18 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,13,"TOLENTINO, FRANCIS",PDPLBN,8729,3.75 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,8381,3.60 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,15,"AQUINO, BENIGNO BAM",LP,6317,2.71 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,16,"OSMEÑA, SERGE",IND,5142,2.21 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,17,"ROXAS, MAR",LP,4628,1.99 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,18,"ENRILE, JUAN PONCE",PMP,4106,1.76 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,19,"ONG, DOC WILLIE",LAKAS,3726,1.60 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,20,"MANICAD, JIGGY",IND,3572,1.53 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,21,"MANGUDADATU, DONG",PDPLBN,3373,1.45 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,22,"GADON, LARRY",KBL,2377,1.02 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,1940,0.83 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,24,"ALEJANO, GARY",LP,1786,0.77 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,25,"COLMENARES, NERI",MKBYN,1601,0.69 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,26,"CHONG, GLENN",KDP,1392,0.60 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,27,"AGUILAR, FREDDIE",IND,1253,0.54 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,28,"GUTOC, SAMIRA",LP,1157,0.50 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,29,"MACALINTAL, MACAROMY",IND,1083,0.46 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,30,"TAÑADA,LORENZO ERIN TAPAT",LP,1017,0.44 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,31,"ESCUDERO, AGNES",IND,991,0.43 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,32,"MANGONDATO, FAISAL",IND,791,0.34 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,33,"ALUNAN, RAFFY",BGMBYN,771,0.33 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,34,"HILBAY, PILO",AKSYON,660,0.28 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,35,"DE GUZMAN, KA LEODY",PLM,503,0.22 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,36,"ARELLANO, ERNESTO",IND,427,0.18 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,37,"CHAVEZ, MELCHOR",WPP,424,0.18 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,38,"PADILLA, DADO",PFP,397,0.17 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,39,"VALDES, BUTCH",KDP,386,0.17 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,40,"MONTAÑO, ALLAN",IND,372,0.16 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,41,"CASIÑO, TOTI",KDP,269,0.12 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,42,"AFUANG, ABNER",WPP,251,0.11 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,43,"ARIAS, MARCELINO",WPP,217,0.09 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,44,"ABEJO, VANGIE",IND,215,0.09 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,45,"JANGAO, BFG ABRAHAM",IND,207,0.09 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,46,"NALLIW, JOAN SHEELAH",IND,187,0.08 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,47,"ALBANI, SHARIFF",WPP,185,0.08 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,48,"GENEROSO,GEN PEDERALISMO",IND,184,0.08 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,49,"ROLEDA, DAN KAIBIGAN",UNA,173,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,50,"MATULA, JOSE SONNY",WPP,170,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,51,"ARCEGA, GERALD",WPP,166,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,52,"AUSTRIA, BERNARD",PDSP,165,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,52,"SAHIDULLA, LADY ANN",KDP,165,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,54,"BALDEVARONA, BALDE",FFP,164,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,55,"GADDI, CHARLIE",IND,158,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,56,"MALLILLIN, EMILY",IND,157,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,57,"ALFAJORA, RICHARD",IND,156,0.07 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,58,"FRANCISCO, ELMER",PFP,149,0.06 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,59,"JAVELLANA, RJ",KDP,148,0.06 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,60,"CACERES, JESUS",IND,118,0.05 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,61,"GUIGAYUMA, JUNBERT",WPP,104,0.04 %
REGION I,LA UNION,ROSARIO,SENATOR PHILIPPINES,62,"MENIANO, LUTHER",WPP,98,0.04 %
REGION I,LA UNION,ROSARIO,MAYOR LA UNION - ROSARIO,1,"FLORES, BELLARMIN II",PDPLBN,24084,100.00 %
REGION I,LA UNION,ROSARIO,PROVINCIAL GOVERNOR LA UNION,1,"ORTEGA, PACOY",PDPLBN,20630,84.97 %
REGION I,LA UNION,ROSARIO,PROVINCIAL GOVERNOR LA UNION,2,"DUMPIT, FERNANDO JR.",KDP,3368,13.87 %
REGION I,LA UNION,ROSARIO,PROVINCIAL GOVERNOR LA UNION,3,"ARROÑO, CLARK FIELD III",IND,282,1.16 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",1,"HERUELA, LABANG",NPC,16092,9.86 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",2,"VIRAY, JAN MICHAEL",PDPLBN,15145,9.28 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",3,"SABANGAN, ALLAN",PDPLBN,15087,9.25 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",4,"LICOS, CESARIO",NPC,12466,7.64 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",5,"ALBAY, APOLINARIO JR.",NPC,12107,7.42 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",6,"MADRIAGA, SONNY",NPC,11785,7.22 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",7,"FUENTES, ROSE LILY",IND,11566,7.09 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",8,"FLORES, 989RAUL",PDPLBN,11548,7.08 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",9,"ZARATE, FLORANTE",PDPLBN,11079,6.79 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",10,"VALDEZ, ALLAN",IND,6942,4.25 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",11,"HERNAEZ, CLARA",PFP,5494,3.37 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",12,"NIDOY, ALBERTO",IND,5461,3.35 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",13,"PADILLA, SPENCER",NUP,4436,2.72 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",14,"FERRER, INANG",IND,3895,2.39 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",15,"LADIA, RICHARD",IND,3667,2.25 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",16,"BALANGUE, RONNIE",KDP,3091,1.89 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",17,"MADRIAGA, MADING",NUP,2664,1.63 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",18,"JOAQUIN, ROBERT",IND,2555,1.57 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",19,"FERNANDEZ, RAMON",KDP,1889,1.16 %
REGION I,LA UNION,ROSARIO,"MEMBER, SANGGUNIANG BAYAN LA UNION - ROSARIO  - LONE DIST",20,"MARIANO, BLANDINE FAYE",IND,1579,0.97 %
