region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,LA UNION,TUBAO,PROVINCIAL GOVERNOR LA UNION,1,"ORTEGA, PACOY",PDPLBN,11713,93.15 %
REGION I,LA UNION,TUBAO,PROVINCIAL GOVERNOR LA UNION,2,"DUMPIT, FERNANDO JR.",KDP,724,5.76 %
REGION I,LA UNION,TUBAO,PROVINCIAL GOVERNOR LA UNION,3,"ARROÑO, CLARK FIELD III",IND,137,1.09 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,1,76 ABONO,76 ABONO,4611,51.24 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,2,101 ACT-CIS,101 ACT-CIS,705,7.84 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,3,172 PHILRECA,172 PHILRECA,589,6.55 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,4,54 ANG PROBINSYANO,54 ANG PROBINSYANO,195,2.17 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,5,91 PROBINSYANO AKO,91 PROBINSYANO AKO,180,2.00 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,6,1 BAYAN MUNA,1 BAYAN MUNA,173,1.92 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,7,150 BHW,150 BHW,150,1.67 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,8,33 CIBAC,33 CIBAC,138,1.53 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,9,3 MAGSASAKA,3 MAGSASAKA,133,1.48 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,10,47 ANAKALUSUGAN,47 ANAKALUSUGAN,127,1.41 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,11,83 ACT TEACHERS,83 ACT TEACHERS,114,1.27 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,12,122 1PACMAN,122 1PACMAN,113,1.26 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,13,109 KALINGA,109 KALINGA,108,1.20 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,14,130 SENIOR CITIZENS,130 SENIOR CITIZENS,107,1.19 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,15,2 KABAYAN,2 KABAYAN,74,0.82 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,16,103 APPEND,103 APPEND,73,0.81 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,17,100 MANILA TEACHERS',100 MANILA TEACHERS',72,0.80 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,18,80 MARINO,80 MARINO,63,0.70 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,19,37 GABRIELA,37 GABRIELA,60,0.67 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,20,180 GRECON,180 GRECON,59,0.66 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,21,131 A TEACHER,131 A TEACHER,51,0.57 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,22,95 AASENSO,95 AASENSO,48,0.53 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,23,157 DUTERTE YOUTH,157 DUTERTE YOUTH,47,0.52 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,24,35 MURANG KURYENTE,35 MURANG KURYENTE,45,0.50 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,25,7 OFW FAMILY,7 OFW FAMILY,39,0.43 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,25,30 PRAI,30 PRAI,39,0.43 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,25,142 COOP-NATCCO,142 COOP-NATCCO,39,0.43 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,25,141 AKO BICOL,141 AKO BICOL,39,0.43 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,29,138 MAGDALO,138 MAGDALO,35,0.39 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,30,87 BUHAY,87 BUHAY,34,0.38 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,31,114 AGRI,114 AGRI,32,0.36 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,32,116 ACTS-OFW,116 ACTS-OFW,29,0.32 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,32,71 1-ANG EDUKASYON,71 1-ANG EDUKASYON,29,0.32 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,34,12 ANG NARS,12 ANG NARS,27,0.30 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,35,42 KABATAAN,42 KABATAAN,26,0.29 %
REGION I,LA UNION,TUBAO,PARTY LIST PHILIPPINES,35,53 BH,53 BH BAGONG HENERASYON,26,0.29 %
