region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,1,"POE, GRACE",IND,58082,7.48 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,2,"VILLAR, CYNTHIA",NP,56960,7.34 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,3,"CAYETANO, PIA",NP,46014,5.93 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,4,"LAPID, LITO",NPC,45841,5.91 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,5,"BINAY, NANCY",UNA,38971,5.02 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,6,"ANGARA, EDGARDO SONNY",LDP,38899,5.01 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,7,"MARCOS, IMEE",NP,38788,5.00 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,8,"AQUINO, BENIGNO BAM",LP,35592,4.59 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,9,"BONG REVILLA, RAMON JR",LAKAS,33874,4.36 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,10,"EJERCITO, ESTRADA JV",NPC,31843,4.10 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,11,"ESTRADA, JINGGOY",PMP,30970,3.99 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,12,"GO, BONG GO",PDPLBN,29827,3.84 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,13,"PIMENTEL, KOKO",PDPLBN,29386,3.79 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,14,"DELA ROSA, BATO",PDPLBN,27483,3.54 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,15,"TOLENTINO, FRANCIS",PDPLBN,25460,3.28 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,16,"ROXAS, MAR",LP,23140,2.98 %
REGION I,PANGASINAN,SAN CARLOS CITY,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,21974,2.83 %
