region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,1,"VILLAR, CYNTHIA",NP,9182,7.27 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,2,"MARCOS, IMEE",NP,9148,7.25 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,3,"BINAY, NANCY",UNA,8495,6.73 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,4,"POE, GRACE",IND,7915,6.27 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,5,"GO, BONG GO",PDPLBN,7074,5.60 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,6,"DELA ROSA, BATO",PDPLBN,6302,4.99 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,7,"CAYETANO, PIA",NP,6019,4.77 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,8,"ANGARA, EDGARDO SONNY",LDP,5911,4.68 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,9,"BONG REVILLA, RAMON JR",LAKAS,5871,4.65 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,10,"LAPID, LITO",NPC,5204,4.12 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,11,"ENRILE, JUAN PONCE",PMP,5069,4.01 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,12,"TOLENTINO, FRANCIS",PDPLBN,4953,3.92 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,13,"EJERCITO, ESTRADA JV",NPC,4917,3.89 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,14,"PIMENTEL, KOKO",PDPLBN,4576,3.62 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,15,"ESTRADA, JINGGOY",PMP,4544,3.60 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,16,"AQUINO, BENIGNO BAM",LP,4025,3.19 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,17,"OSMEÑA, SERGE",IND,3192,2.53 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,18,"ROXAS, MAR",LP,2687,2.13 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,19,"MALLILLIN, EMILY",IND,2076,1.64 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,20,"ONG, DOC WILLIE",LAKAS,1718,1.36 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,21,"MANGUDADATU, DONG",PDPLBN,1638,1.30 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,22,"MANICAD, JIGGY",IND,1567,1.24 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,23,"DIOKNO, CHEL",LP,1425,1.13 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,24,"ALEJANO, GARY",LP,1208,0.96 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,25,"AGUILAR, FREDDIE",IND,1035,0.82 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,26,"COLMENARES, NERI",MKBYN,1013,0.80 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,27,"GADON, LARRY",KBL,861,0.68 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,28,"GUTOC, SAMIRA",LP,844,0.67 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,29,"MACALINTAL, MACAROMY",IND,768,0.61 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,30,"HILBAY, PILO",AKSYON,640,0.51 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,31,"TAÑADA,LORENZO ERIN TAPAT",LP,632,0.50 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,32,"CHONG, GLENN",KDP,545,0.43 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,33,"ESCUDERO, AGNES",IND,439,0.35 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,34,"MANGONDATO, FAISAL",IND,435,0.34 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,35,"ALUNAN, RAFFY",BGMBYN,406,0.32 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,36,"PADILLA, DADO",PFP,361,0.29 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,37,"DE GUZMAN, KA LEODY",PLM,329,0.26 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,38,"ARELLANO, ERNESTO",IND,266,0.21 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,39,"CHAVEZ, MELCHOR",WPP,246,0.19 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,40,"ABEJO, VANGIE",IND,236,0.19 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,41,"MONTAÑO, ALLAN",IND,227,0.18 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,42,"JANGAO, BFG ABRAHAM",IND,163,0.13 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,43,"CASIÑO, TOTI",KDP,160,0.13 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,44,"ALBANI, SHARIFF",WPP,148,0.12 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,45,"AFUANG, ABNER",WPP,140,0.11 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,46,"GENEROSO,GEN PEDERALISMO",IND,139,0.11 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,47,"ARCEGA, GERALD",WPP,133,0.11 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,48,"ARIAS, MARCELINO",WPP,125,0.10 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,49,"ALFAJORA, RICHARD",IND,120,0.10 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,50,"MATULA, JOSE SONNY",WPP,107,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,51,"AUSTRIA, BERNARD",PDSP,106,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,52,"FRANCISCO, ELMER",PFP,105,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,53,"BALDEVARONA, BALDE",FFP,101,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,54,"ROLEDA, DAN KAIBIGAN",UNA,99,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,55,"CACERES, JESUS",IND,97,0.08 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,56,"GADDI, CHARLIE",IND,90,0.07 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,57,"GUIGAYUMA, JUNBERT",WPP,88,0.07 %
REGION II,CAGAYAN,ENRILE,SENATOR PHILIPPINES,58,"VALDES, BUTCH",KDP,86,0.07 %
